timestamp,current_task_id,epoch,bottle_img_auc,bottle_pixel_auc,bottle_routing_acc,cable_img_auc,cable_pixel_auc,cable_routing_acc,capsule_img_auc,capsule_pixel_auc,capsule_routing_acc,carpet_img_auc,carpet_pixel_auc,carpet_routing_acc,grid_img_auc,grid_pixel_auc,grid_routing_acc,hazelnut_img_auc,hazelnut_pixel_auc,hazelnut_routing_acc,leather_img_auc,leather_pixel_auc,leather_routing_acc,metal_nut_img_auc,metal_nut_pixel_auc,metal_nut_routing_acc,pill_img_auc,pill_pixel_auc,pill_routing_acc,screw_img_auc,screw_pixel_auc,screw_routing_acc,tile_img_auc,tile_pixel_auc,tile_routing_acc,toothbrush_img_auc,toothbrush_pixel_auc,toothbrush_routing_acc,transistor_img_auc,transistor_pixel_auc,transistor_routing_acc,wood_img_auc,wood_pixel_auc,wood_routing_acc,zipper_img_auc,zipper_pixel_auc,zipper_routing_acc,mean_img_auc,mean_pixel_auc,mean_routing_acc
2026-01-01 12:04:01,0,59,1.0,0.9626554585279736,1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,1.0,0.9626554585279736,1.0
2026-01-01 12:08:55,1,59,1.0,0.9626554585279736,1.0,0.9926911544227885,0.9750607771964035,1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,0.9963455772113943,0.9688581178621886,1.0
2026-01-01 12:13:39,2,59,1.0,0.9626554585279736,1.0,0.9926911544227885,0.9750607771964035,1.0,0.9505384922217791,0.9852923561832284,1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,0.9810765488815226,0.9743361973025352,1.0
2026-01-01 12:19:48,3,59,1.0,0.9626554585279736,1.0,0.9926911544227885,0.9750607771964035,1.0,0.9505384922217791,0.9852923561832284,1.0,0.9851524879614766,0.981297307316364,1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,0.9820955336515111,0.9760764748059924,1.0
2026-01-01 12:25:37,4,59,1.0,0.9626554585279736,1.0,0.9926911544227885,0.9750607771964035,1.0,0.9505384922217791,0.9852923561832284,1.0,0.9851524879614766,0.981297307316364,1.0,0.9874686716791979,0.9752643454435322,1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,0.9831701612570486,0.9759140489335003,1.0
2026-01-01 12:34:08,5,59,1.0,0.9626554585279736,1.0,0.9926911544227885,0.9750607771964035,1.0,0.9505384922217791,0.9852923561832284,1.0,0.9851524879614766,0.981297307316364,1.0,0.9874686716791979,0.9752643454435322,1.0,1.0,0.9843689656159278,1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,0.9859751343808738,0.9773232017139049,1.0
2026-01-01 12:40:11,6,59,1.0,0.9626554585279736,1.0,0.9926911544227885,0.9750607771964035,1.0,0.9505384922217791,0.9852923561832284,1.0,0.9851524879614766,0.981297307316364,1.0,0.9874686716791979,0.9752643454435322,1.0,1.0,0.9843689656159278,1.0,1.0,0.9809520111213819,1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,0.9879786866121776,0.9778416030578302,1.0
2026-01-01 12:45:43,7,59,1.0,0.9626554585279736,1.0,0.9926911544227885,0.9750607771964035,1.0,0.9505384922217791,0.9852923561832284,1.0,0.9851524879614766,0.981297307316364,1.0,0.9874686716791979,0.9752643454435322,1.0,1.0,0.9843689656159278,1.0,1.0,0.9809520111213819,1.0,1.0,0.9845531385206705,1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,0.9894813507856552,0.9786805449906852,1.0
2026-01-01 12:52:32,8,59,1.0,0.9626554585279736,1.0,0.9926911544227885,0.9750607771964035,1.0,0.9505384922217791,0.9852923561832284,1.0,0.9851524879614766,0.981297307316364,1.0,0.9874686716791979,0.9752643454435322,1.0,1.0,0.9843689656159278,1.0,1.0,0.9809520111213819,1.0,1.0,0.9845531385206705,1.0,0.9822695035460993,0.9881603702203492,1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,0.9886800344257046,0.9797338589050923,1.0
2026-01-01 13:01:07,9,59,1.0,0.9626554585279736,1.0,0.9926911544227885,0.9750607771964035,1.0,0.9505384922217791,0.9852923561832284,1.0,0.9851524879614766,0.981297307316364,1.0,0.9874686716791979,0.9752643454435322,1.0,1.0,0.9843689656159278,1.0,1.0,0.9809520111213819,1.0,1.0,0.9845531385206705,1.0,0.9822695035460993,0.9881603702203492,1.0,0.8958803033408484,0.9828187377844989,1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,0.9794000613172191,0.9800423467930329,1.0
