Task ID,Class Name,Routing Acc (%),Image AUC,Pixel AUC,Image AP,Pixel AP
0,bottle,100.00,1.0000,0.9627,1.0000,0.4407
1,cable,100.00,0.9927,0.9751,0.9959,0.6573
2,capsule,100.00,0.9505,0.9853,0.9884,0.3483
3,carpet,100.00,0.9852,0.9813,0.9958,0.4139
4,grid,100.00,0.9875,0.9753,0.9960,0.1960
5,hazelnut,100.00,1.0000,0.9844,1.0000,0.4993
6,leather,100.00,1.0000,0.9810,1.0000,0.2247
7,metal_nut,100.00,1.0000,0.9846,1.0000,0.8723
8,pill,100.00,0.9823,0.9882,0.9970,0.8047
9,screw,100.00,0.8959,0.9828,0.9600,0.2058
10,tile,100.00,1.0000,0.9569,1.0000,0.6742
11,toothbrush,100.00,0.9111,0.9807,0.9615,0.4269
12,transistor,100.00,1.0000,0.9682,1.0000,0.6572
13,wood,100.00,0.9912,0.9202,0.9973,0.3159
14,zipper,100.00,0.9945,0.9744,0.9986,0.3122
Mean,Overall,100.00,0.9794*,0.9734*,0.9927*,0.4700*
