Task ID,Class Name,Routing Acc (%),Image AUC,Pixel AUC,Image AP,Pixel AP
0,candle,100.00,0.8973,0.8974,0.9206,0.0152
1,capsules,100.00,0.8765,0.9736,0.9328,0.3005
2,cashew,100.00,0.9594,0.9844,0.9794,0.5898
3,chewinggum,100.00,0.9174,0.9477,0.9624,0.1320
4,fryum,100.00,0.9014,0.9451,0.9529,0.3183
5,macaroni1,100.00,0.7958,0.9375,0.7759,0.0292
6,macaroni2,100.00,0.6803,0.9186,0.6313,0.0079
7,pcb1,100.00,0.9237,0.9842,0.9187,0.5598
8,pcb2,100.00,0.8887,0.9655,0.8886,0.0871
9,pcb3,100.00,0.7948,0.9638,0.8238,0.1911
10,pcb4,100.00,0.9711,0.9607,0.9563,0.2118
11,pipe_fryum,98.67,0.9306,0.9475,0.9650,0.1242
Mean,Overall,99.89,0.8781*,0.9522*,0.8923*,0.2139*
