Task ID,Class Name,Routing Acc (%),Image AUC,Pixel AUC,Image AP,Pixel AP
0,leather,100.00,0.0707,0.6611,0.5508,0.0164
1,grid,100.00,0.7920,0.8663,0.9261,0.1189
2,transistor,100.00,0.6942,0.8906,0.7015,0.4276
3,carpet,100.00,0.8090,0.9003,0.9411,0.2580
4,zipper,100.00,0.8338,0.9143,0.9347,0.2591
5,hazelnut,100.00,0.9100,0.9672,0.9466,0.4622
6,toothbrush,97.62,0.7944,0.9480,0.9250,0.1432
7,metal_nut,100.00,0.9374,0.9670,0.9853,0.7789
8,screw,100.00,0.4456,0.8549,0.7536,0.0270
9,wood,100.00,0.9789,0.8983,0.9937,0.4424
10,tile,100.00,0.9996,0.8691,0.9999,0.3115
11,capsule,100.00,0.6980,0.9519,0.9189,0.1841
12,pill,98.80,0.7954,0.9541,0.9571,0.3482
13,cable,100.00,0.8162,0.9099,0.8907,0.4334
14,bottle,100.00,0.9984,0.9601,0.9995,0.5303
Mean,Overall,99.76,0.7716*,0.9009*,0.8950*,0.3161*
