timestamp,current_task_id,epoch,leather_img_auc,leather_pixel_auc,leather_routing_acc,grid_img_auc,grid_pixel_auc,grid_routing_acc,transistor_img_auc,transistor_pixel_auc,transistor_routing_acc,carpet_img_auc,carpet_pixel_auc,carpet_routing_acc,zipper_img_auc,zipper_pixel_auc,zipper_routing_acc,hazelnut_img_auc,hazelnut_pixel_auc,hazelnut_routing_acc,toothbrush_img_auc,toothbrush_pixel_auc,toothbrush_routing_acc,metal_nut_img_auc,metal_nut_pixel_auc,metal_nut_routing_acc,screw_img_auc,screw_pixel_auc,screw_routing_acc,wood_img_auc,wood_pixel_auc,wood_routing_acc,tile_img_auc,tile_pixel_auc,tile_routing_acc,capsule_img_auc,capsule_pixel_auc,capsule_routing_acc,pill_img_auc,pill_pixel_auc,pill_routing_acc,cable_img_auc,cable_pixel_auc,cable_routing_acc,bottle_img_auc,bottle_pixel_auc,bottle_routing_acc,mean_img_auc,mean_pixel_auc,mean_routing_acc
2025-12-27 11:05:41,0,39,1.0,0.9720243167306033,1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,1.0,0.9720243167306033,1.0
2025-12-27 11:07:37,1,39,1.0,0.9724584424782661,1.0,0.8663324979114453,0.9146898127409121,1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,0.9331662489557226,0.943574127609589,1.0
2025-12-27 11:09:26,2,39,1.0,0.9718623213582164,1.0,0.8629908103592314,0.9174977969529177,1.0,0.7687499999999999,0.9208065684982081,1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,0.8772469367864105,0.9367222289364475,1.0
2025-12-27 11:11:53,3,39,0.998641304347826,0.9690194973176958,1.0,0.8571428571428571,0.9155351586404422,1.0,0.7754166666666665,0.9186369973080913,1.0,0.9751203852327448,0.9632644753399083,1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,0.9015803033475236,0.9416140321515345,1.0
2025-12-27 11:14:08,4,39,0.9952445652173914,0.9680074900357982,1.0,0.8563074352548037,0.9158083259746117,1.0,0.7604166666666666,0.9198110876765228,1.0,0.9727126805778491,0.963273482683116,1.0,0.9296218487394958,0.8692642916084231,1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,0.9028606392912414,0.9272329355956943,1.0
2025-12-27 11:17:40,5,39,0.9921875,0.9651168964523444,1.0,0.8554720133667502,0.9211749470903519,1.0,0.7583333333333333,0.9149957500924683,1.0,0.9707062600321027,0.9626294403999771,1.0,0.9298844537815126,0.8711727372432554,1.0,0.965,0.9735594808817566,1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,0.9119305934189498,0.9347748753600255,1.0
2025-12-27 11:18:53,6,39,0.9904891304347826,0.9625038814839618,1.0,0.8554720133667502,0.9214771621022217,1.0,0.7587500000000001,0.9168726216004518,1.0,0.9719101123595505,0.961762721266053,1.0,0.934611344537815,0.8726378509372557,1.0,0.965,0.9738105650349169,1.0,0.7972222222222223,0.948246457056958,0.9761904761904762,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,0.8962078318458744,0.9367587513545456,0.9965986394557823
2025-12-27 11:21:11,7,39,0.9422554347826086,0.9542306047161284,1.0,0.8471177944862155,0.92003779627542,1.0,0.7483333333333335,0.9171057956668804,1.0,0.9662921348314607,0.9595468248825915,1.0,0.9277836134453782,0.8726981917313434,1.0,0.9657142857142859,0.974706690251812,1.0,0.8222222222222222,0.9493508257568138,0.9761904761904762,0.9428152492668621,0.9741012584061718,1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,0.8953167585102959,0.9402222484608952,0.9970238095238095
2025-12-27 11:24:29,8,39,0.7768342391304348,0.9382585352573016,1.0,0.8345864661654135,0.9175455522774454,1.0,0.74875,0.9162862624575324,1.0,0.9506420545746389,0.9546782351088348,1.0,0.926733193277311,0.8838759518367033,1.0,0.9642857142857144,0.975445695990172,1.0,0.8055555555555556,0.9481424392722849,0.9761904761904762,0.9393939393939394,0.9746339925731855,1.0,0.4929288788686206,0.8746829671324615,1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,0.8266344490279587,0.9315055146562136,0.9973544973544973
2025-12-27 11:27:24,9,39,0.5451766304347826,0.9005040549475857,1.0,0.8345864661654135,0.9138221457981687,1.0,0.75125,0.9167886135381624,1.0,0.9245585874799358,0.9498427724472975,1.0,0.9285714285714286,0.8891660582849316,1.0,0.9582142857142858,0.9742730447803465,1.0,0.8055555555555556,0.9471409786010426,0.9761904761904762,0.9354838709677419,0.9723264541987875,1.0,0.5087108013937283,0.8773196535337887,1.0,0.9798245614035088,0.9008529786531838,1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,0.817193218768638,0.9242036754783294,0.9976190476190476
