Task ID,Class Name,Routing Acc (%),Image AUC,Pixel AUC,Image AP,Pixel AP
0,candle,100.00,0.9010,0.8868,0.9218,0.0599
1,capsules,100.00,0.8717,0.9609,0.9293,0.2958
2,cashew,100.00,0.9770,0.9813,0.9876,0.6982
3,chewinggum,99.33,0.9318,0.9405,0.9699,0.1080
4,fryum,100.00,0.9340,0.9363,0.9690,0.3051
5,macaroni1,100.00,0.8759,0.9094,0.8670,0.0264
6,macaroni2,100.00,0.6719,0.8045,0.6199,0.0059
7,pcb1,100.00,0.9545,0.9835,0.9442,0.5754
8,pcb2,100.00,0.9116,0.9598,0.9119,0.1071
9,pcb3,100.00,0.8729,0.9418,0.8805,0.1771
10,pcb4,100.00,0.9681,0.9411,0.9546,0.1840
11,pipe_fryum,98.67,0.9560,0.9841,0.9787,0.3306
Mean,Overall,99.83,0.9022*,0.9359*,0.9112*,0.2395*
