Task ID,Class Name,Routing Acc (%),Image AUC,Pixel AUC,Image AP,Pixel AP
0,bottle,100.00,0.2976,0.1212,0.7067,0.0314
1,cable,100.00,0.5722,0.7282,0.7213,0.2733
2,capsule,100.00,0.4507,0.5636,0.8177,0.0108
3,carpet,100.00,0.5642,0.8216,0.8388,0.1942
4,grid,100.00,0.6550,0.8330,0.8659,0.0618
5,hazelnut,100.00,0.8646,0.9342,0.9197,0.1937
6,leather,100.00,0.9783,0.9388,0.9929,0.1174
7,metal_nut,100.00,0.8856,0.9443,0.9718,0.6334
8,pill,98.80,0.7807,0.9269,0.9522,0.2744
9,screw,100.00,0.2718,0.8046,0.6634,0.0129
10,tile,100.00,0.9989,0.8790,0.9996,0.3102
11,toothbrush,97.62,0.7861,0.9458,0.9130,0.1411
12,transistor,100.00,0.7612,0.9188,0.7396,0.5001
13,wood,100.00,0.9491,0.8895,0.9804,0.4407
14,zipper,100.00,0.9220,0.8507,0.9544,0.1924
Mean,Overall,99.76,0.7159*,0.8067*,0.8692*,0.2258*
