Task ID,Class Name,Routing Acc (%),Image AUC,Pixel AUC,Image AP,Pixel AP
0,candle,100.00,0.8908,0.8962,0.9137,0.0134
1,capsules,100.00,0.8688,0.9741,0.9270,0.3145
2,cashew,100.00,0.9674,0.9838,0.9826,0.5582
3,chewinggum,100.00,0.9212,0.9429,0.9633,0.1044
4,fryum,100.00,0.9022,0.9446,0.9515,0.3188
5,macaroni1,100.00,0.8072,0.9354,0.8004,0.0313
6,macaroni2,100.00,0.6759,0.9231,0.6285,0.0089
7,pcb1,100.00,0.9267,0.9845,0.9253,0.5300
8,pcb2,100.00,0.8943,0.9674,0.8907,0.0994
9,pcb3,100.00,0.8107,0.9649,0.8315,0.1805
10,pcb4,100.00,0.9764,0.9625,0.9636,0.2088
11,pipe_fryum,98.67,0.6818,0.0489,0.8404,0.0072
Mean,Overall,99.89,0.8603*,0.8774*,0.8849*,0.1980*
