task_id,epoch,stage,loss,learning_rate,class_name,img_auc,pixel_auc,img_ap,pixel_ap,routing_accuracy
0,0.0,BASE,928.1436063326322,0.0002997964859110542,,,,,,
0,1.0,BASE,633.4287109375,0.00029918650146218856,,,,,,
0,2.0,BASE,427.0373769906851,0.00029817171857837797,,,,,,
0,3.0,BASE,282.2079092172476,0.00029675491870897016,,,,,,
0,4.0,BASE,171.29591545691858,0.00029493998520392666,,,,,,
0,5.0,BASE,88.34036430945763,0.0002927318926698304,,,,,,
0,6.0,BASE,22.63781822644747,0.0002901366933348345,,,,,,
0,7.0,BASE,-32.84845190781813,0.0002871615004599263,,,,,,
0,8.0,BASE,-79.51082963209886,0.0002838144688419727,,,,,,
0,9.0,BASE,-117.21935037466196,0.00028010477246198927,,,,,,
0,10.0,BASE,-151.21671060415414,0.00027604257933989555,,,,,,
0,11.0,BASE,-183.2736100416917,0.00027163902366467976,,,,,,
0,12.0,BASE,-211.94778677133414,0.00026690617527636023,,,,,,
0,13.0,BASE,-238.8021498460036,0.0002618570065833931,,,,,,
0,14.0,BASE,-261.57287245530347,0.0002565053570062024,,,,,,
0,15.0,BASE,-283.6975543682392,0.00025086589504429055,,,,,,
0,16.0,BASE,-306.66283005934497,0.00024495407807090095,,,,,,
0,17.0,BASE,-324.9777573805589,0.00023878610996543232,,,,,,
0,18.0,BASE,-343.68543888972357,0.00023237889669973157,,,,,,
0,19.0,BASE,-362.6173799954928,0.00022575000000000004,,,,,,
0,20.0,BASE,-379.33491868239184,0.00021891758921132272,,,,,,
0,21.0,BASE,-395.8819580078125,0.0002119003914967564,,,,,,
0,22.0,BASE,-409.4767667330228,0.00020471764050747717,,,,,,
0,23.0,BASE,-424.2733083871695,0.00019738902366467974,,,,,,
0,24.0,BASE,-437.25047889122595,0.00018993462819772436,,,,,,
0,25.0,BASE,-450.254399226262,0.00018237488608643726,,,,,,
0,26.0,BASE,-463.535639836238,0.0001747305180584743,,,,,,
0,27.0,BASE,-476.614743746244,0.00016702247679524656,,,,,,
0,28.0,BASE,-487.2636460524339,0.00015927188950207714,,,,,,
0,29.0,BASE,-499.0347900390625,0.00015150000000000002,,,,,,
0,30.0,BASE,-508.94952627328723,0.00014372811049792285,,,,,,
0,31.0,BASE,-518.4623647836538,0.00013597752320475346,,,,,,
0,32.0,BASE,-528.2583665114182,0.0001282694819415257,,,,,,
0,33.0,BASE,-536.458486703726,0.00012062511391356272,,,,,,
0,34.0,BASE,-545.052241398738,0.00011306537180227568,,,,,,
0,35.0,BASE,-553.3831364558293,0.00010561097633532032,,,,,,
0,36.0,BASE,-561.1258263221154,9.828235949252291e-05,,,,,,
0,37.0,BASE,-567.8528771033654,9.10996085032437e-05,,,,,,
0,38.0,BASE,-575.4983285757212,8.408241078867731e-05,,,,,,
0,39.0,BASE,-582.5023005558894,7.725000000000003e-05,,,,,,
0,40.0,BASE,-588.3489285982572,7.062110330026853e-05,,,,,,
0,41.0,BASE,-594.7929124098557,6.421389003456776e-05,,,,,,
0,42.0,BASE,-599.5873272235577,5.804592192909917e-05,,,,,,
0,43.0,BASE,-604.6397141676682,5.213410495570961e-05,,,,,,
0,44.0,BASE,-609.1968336838943,4.6494642993797704e-05,,,,,,
0,45.0,BASE,-613.1366530198318,4.114299341660699e-05,,,,,,
0,46.0,BASE,-617.0414616511418,3.6093824723639826e-05,,,,,,
0,47.0,BASE,-620.2435631385216,3.136097633532032e-05,,,,,,
0,48.0,BASE,-623.2157217172476,2.6957420660104545e-05,,,,,,
0,49.0,BASE,-625.9643977238582,2.2895227538010853e-05,,,,,,
0,50.0,BASE,-628.274184006911,1.9185531158027386e-05,,,,,,
0,51.0,BASE,-630.134507399339,1.5838499540073755e-05,,,,,,
0,52.0,BASE,-632.1374136117788,1.286330666516554e-05,,,,,,
0,53.0,BASE,-632.8153733473557,1.0268107330169699e-05,,,,,,
0,54.0,BASE,-634.2008995643029,8.060014796073354e-06,,,,,,
0,55.0,BASE,-635.4159686748798,6.245081291029853e-06,,,,,,
0,56.0,BASE,-635.8436279296875,4.828281421622056e-06,,,,,,
0,57.0,BASE,-636.6329110952524,3.813498537811399e-06,,,,,,
0,58.0,BASE,-637.0171180138221,3.2035140889457853e-06,,,,,,
0,59.0,BASE,-637.2719022310697,2.9999999999999997e-06,,,,,,
1,0.0,FAST,777882.0267857143,0.00015,,,,,,
1,1.0,FAST,369667.4453125,0.0003,,,,,,
1,2.0,FAST,61652.13364955357,0.0002997964859110542,,,,,,
1,3.0,FAST,7966.360246930803,0.00029918650146218856,,,,,,
1,4.0,FAST,2425.5009765625,0.00029817171857837797,,,,,,
1,5.0,FAST,1173.9847281319755,0.00029675491870897016,,,,,,
1,6.0,FAST,755.9464983258929,0.00029493998520392666,,,,,,
1,7.0,FAST,598.0923549107143,0.0002927318926698304,,,,,,
1,8.0,FAST,522.528828212193,0.0002901366933348345,,,,,,
1,9.0,FAST,472.12334987095426,0.0002871615004599263,,,,,,
1,10.0,FAST,437.0566166469029,0.0002838144688419727,,,,,,
1,11.0,FAST,413.4260711669922,0.00028010477246198927,,,,,,
1,12.0,FAST,397.15530831473217,0.00027604257933989555,,,,,,
1,13.0,FAST,385.51892743791853,0.00027163902366467976,,,,,,
1,14.0,FAST,375.8025098528181,0.00026690617527636023,,,,,,
1,15.0,FAST,367.5982753208705,0.0002618570065833931,,,,,,
1,16.0,FAST,360.0817609514509,0.0002565053570062024,,,,,,
1,17.0,FAST,352.655508858817,0.00025086589504429055,,,,,,
1,18.0,FAST,346.0068577357701,0.00024495407807090095,,,,,,
1,19.0,FAST,339.1807403564453,0.00023878610996543232,,,,,,
1,20.0,FAST,332.6772940499442,0.00023237889669973157,,,,,,
1,21.0,FAST,326.96934509277344,0.00022575000000000004,,,,,,
1,22.0,FAST,320.9557080950056,0.00021891758921132272,,,,,,
1,23.0,FAST,316.12772478376115,0.0002119003914967564,,,,,,
1,24.0,FAST,310.586911882673,0.00020471764050747717,,,,,,
1,25.0,FAST,306.43133326939176,0.00019738902366467974,,,,,,
1,26.0,FAST,302.0080784388951,0.00018993462819772436,,,,,,
1,27.0,FAST,297.9704132080078,0.00018237488608643726,,,,,,
1,28.0,FAST,294.06332615443637,0.0001747305180584743,,,,,,
1,29.0,FAST,290.54200526646207,0.00016702247679524656,,,,,,
1,30.0,FAST,287.54688807896207,0.00015927188950207714,,,,,,
1,31.0,FAST,284.29924447195873,0.00015150000000000002,,,,,,
1,32.0,FAST,281.72152927943637,0.00014372811049792285,,,,,,
1,33.0,FAST,279.1206294468471,0.00013597752320475346,,,,,,
1,34.0,FAST,276.662118094308,0.0001282694819415257,,,,,,
1,35.0,FAST,274.4616219656808,0.00012062511391356272,,,,,,
1,36.0,FAST,272.5237928118025,0.00011306537180227568,,,,,,
1,37.0,FAST,270.4778137207031,0.00010561097633532032,,,,,,
1,38.0,FAST,269.0113786969866,9.828235949252291e-05,,,,,,
1,39.0,FAST,267.0526428222656,9.10996085032437e-05,,,,,,
1,40.0,FAST,266.0568389892578,8.408241078867731e-05,,,,,,
1,41.0,FAST,264.45908900669644,7.725000000000003e-05,,,,,,
1,42.0,FAST,263.15225655691967,7.062110330026853e-05,,,,,,
1,43.0,FAST,262.0554504394531,6.421389003456776e-05,,,,,,
1,44.0,FAST,261.18563406808033,5.804592192909917e-05,,,,,,
1,45.0,FAST,260.2047228131975,5.213410495570961e-05,,,,,,
1,46.0,FAST,259.4636753627232,4.6494642993797704e-05,,,,,,
1,47.0,FAST,258.6024082728795,4.114299341660699e-05,,,,,,
1,48.0,FAST,257.8951742989676,3.6093824723639826e-05,,,,,,
1,49.0,FAST,257.5522123064314,3.136097633532032e-05,,,,,,
1,50.0,FAST,257.0327824183873,2.6957420660104545e-05,,,,,,
1,51.0,FAST,256.5329927716936,2.2895227538010853e-05,,,,,,
1,52.0,FAST,256.1374075753348,1.9185531158027386e-05,,,,,,
1,53.0,FAST,255.85851069859095,1.5838499540073755e-05,,,,,,
1,54.0,FAST,255.62214006696428,1.286330666516554e-05,,,,,,
1,55.0,FAST,255.39411817278182,1.0268107330169699e-05,,,,,,
1,56.0,FAST,255.2284382411412,8.060014796073354e-06,,,,,,
1,57.0,FAST,255.11004311697823,6.245081291029853e-06,,,,,,
1,58.0,FAST,255.0207530430385,4.828281421622056e-06,,,,,,
1,59.0,FAST,254.94004603794642,3.813498537811399e-06,,,,,,
2,0.0,FAST,5803390.961538462,0.00015,,,,,,
2,1.0,FAST,3886563.9615384615,0.0003,,,,,,
2,2.0,FAST,1334473.485576923,0.0002997964859110542,,,,,,
2,3.0,FAST,151727.23602764422,0.00029918650146218856,,,,,,
2,4.0,FAST,9165.970233623799,0.00029817171857837797,,,,,,
2,5.0,FAST,2514.9963660606973,0.00029675491870897016,,,,,,
2,6.0,FAST,1223.764620267428,0.00029493998520392666,,,,,,
2,7.0,FAST,775.4120013897235,0.0002927318926698304,,,,,,
2,8.0,FAST,613.3775869516226,0.0002901366933348345,,,,,,
2,9.0,FAST,548.0205594576322,0.0002871615004599263,,,,,,
2,10.0,FAST,495.70274470402643,0.0002838144688419727,,,,,,
2,11.0,FAST,451.52479670597955,0.00028010477246198927,,,,,,
2,12.0,FAST,420.3009737454928,0.00027604257933989555,,,,,,
2,13.0,FAST,396.66958383413464,0.00027163902366467976,,,,,,
2,14.0,FAST,379.7914147010216,0.00026690617527636023,,,,,,
2,15.0,FAST,365.6214200533353,0.0002618570065833931,,,,,,
2,16.0,FAST,354.095456636869,0.0002565053570062024,,,,,,
