Task ID,Class Name,Routing Acc (%),Image AUC,Pixel AUC,Image AP,Pixel AP
0,bottle,100.00,1.0000,0.9838,1.0000,0.7432
1,cable,100.00,0.9816,0.9718,0.9907,0.6010
2,capsule,100.00,0.9525,0.9868,0.9891,0.3979
3,carpet,100.00,0.9972,0.9904,0.9991,0.6432
4,grid,100.00,0.9891,0.9754,0.9961,0.2617
5,hazelnut,100.00,0.9989,0.9873,0.9994,0.5903
6,leather,100.00,1.0000,0.9945,1.0000,0.4946
7,metal_nut,100.00,1.0000,0.9721,1.0000,0.7863
8,pill,100.00,0.9883,0.9897,0.9980,0.8018
9,screw,100.00,0.9186,0.9781,0.9691,0.2209
10,tile,100.00,1.0000,0.9701,1.0000,0.7298
11,toothbrush,100.00,0.9222,0.9838,0.9682,0.5666
12,transistor,100.00,0.9933,0.9681,0.9894,0.6525
13,wood,100.00,0.9746,0.9455,0.9913,0.5121
14,zipper,100.00,0.9895,0.9754,0.9972,0.3811
Mean,Overall,100.00,0.9804*,0.9782*,0.9925*,0.5589*
