Task ID,Class Name,Routing Acc (%),Image AUC,Pixel AUC,Image AP,Pixel AP
0,bottle,100.00,1.0000,0.9701,1.0000,0.4961
1,cable,100.00,0.9925,0.9762,0.9960,0.6493
2,capsule,100.00,0.9621,0.9844,0.9915,0.3052
3,carpet,100.00,0.9888,0.9820,0.9968,0.4432
4,grid,100.00,0.9900,0.9763,0.9967,0.2138
5,hazelnut,100.00,1.0000,0.9858,1.0000,0.5529
6,leather,100.00,1.0000,0.9809,1.0000,0.2145
7,metal_nut,100.00,0.9995,0.9843,0.9999,0.8613
8,pill,100.00,0.9834,0.9886,0.9971,0.7994
9,screw,100.00,0.9028,0.9835,0.9620,0.2167
10,tile,100.00,1.0000,0.9591,1.0000,0.6568
11,toothbrush,100.00,0.8972,0.9825,0.9548,0.4567
12,transistor,100.00,1.0000,0.9690,1.0000,0.6571
13,wood,100.00,0.9895,0.9196,0.9968,0.3271
14,zipper,100.00,0.9900,0.9748,0.9974,0.3085
Mean,Overall,100.00,0.9797*,0.9745*,0.9926*,0.4772*
