Task ID,Class Name,Routing Acc (%),Image AUC,Pixel AUC,Image AP,Pixel AP
0,bottle,100.00,1.0000,0.9844,1.0000,0.7570
1,cable,100.00,0.9798,0.9715,0.9898,0.5818
2,capsule,100.00,0.9473,0.9865,0.9878,0.3997
3,carpet,100.00,0.9948,0.9907,0.9985,0.6520
4,grid,100.00,0.9875,0.9752,0.9956,0.2610
5,hazelnut,100.00,0.9993,0.9867,0.9996,0.5909
6,leather,100.00,1.0000,0.9950,1.0000,0.5325
7,metal_nut,100.00,1.0000,0.9725,1.0000,0.7798
8,pill,100.00,0.9880,0.9894,0.9980,0.8006
9,screw,100.00,0.9281,0.9743,0.9726,0.2279
10,tile,100.00,1.0000,0.9706,1.0000,0.7230
11,toothbrush,100.00,0.9028,0.9811,0.9579,0.5501
12,transistor,100.00,0.9908,0.9716,0.9847,0.6613
13,wood,100.00,0.9781,0.9476,0.9925,0.5316
14,zipper,100.00,0.9913,0.9749,0.9977,0.3774
Mean,Overall,100.00,0.9792*,0.9781*,0.9916*,0.5618*
