Task ID,Class Name,Routing Acc (%),Image AUC,Pixel AUC,Image AP,Pixel AP
0,bottle,100.00,1.0000,0.9802,1.0000,0.6514
1,cable,100.00,0.9891,0.9760,0.9947,0.6402
2,capsule,100.00,0.9621,0.9864,0.9911,0.3848
3,carpet,100.00,0.9936,0.9886,0.9982,0.6169
4,grid,100.00,0.9933,0.9759,0.9976,0.2541
5,hazelnut,100.00,1.0000,0.9873,1.0000,0.5902
6,leather,100.00,1.0000,0.9907,1.0000,0.3609
7,metal_nut,100.00,1.0000,0.9777,1.0000,0.8140
8,pill,100.00,0.9866,0.9899,0.9977,0.8218
9,screw,100.00,0.9084,0.9810,0.9647,0.2142
10,tile,100.00,1.0000,0.9649,1.0000,0.6596
11,toothbrush,100.00,0.9056,0.9844,0.9575,0.5403
12,transistor,100.00,0.9971,0.9629,0.9956,0.6511
13,wood,100.00,0.9877,0.9358,0.9960,0.4367
14,zipper,100.00,0.9900,0.9757,0.9974,0.3392
Mean,Overall,100.00,0.9809*,0.9772*,0.9927*,0.5317*
