timestamp,current_task_id,epoch,bottle_img_auc,bottle_pixel_auc,bottle_routing_acc,cable_img_auc,cable_pixel_auc,cable_routing_acc,capsule_img_auc,capsule_pixel_auc,capsule_routing_acc,carpet_img_auc,carpet_pixel_auc,carpet_routing_acc,grid_img_auc,grid_pixel_auc,grid_routing_acc,hazelnut_img_auc,hazelnut_pixel_auc,hazelnut_routing_acc,leather_img_auc,leather_pixel_auc,leather_routing_acc,metal_nut_img_auc,metal_nut_pixel_auc,metal_nut_routing_acc,pill_img_auc,pill_pixel_auc,pill_routing_acc,screw_img_auc,screw_pixel_auc,screw_routing_acc,tile_img_auc,tile_pixel_auc,tile_routing_acc,toothbrush_img_auc,toothbrush_pixel_auc,toothbrush_routing_acc,transistor_img_auc,transistor_pixel_auc,transistor_routing_acc,wood_img_auc,wood_pixel_auc,wood_routing_acc,zipper_img_auc,zipper_pixel_auc,zipper_routing_acc,mean_img_auc,mean_pixel_auc,mean_routing_acc
2026-01-07 19:51:07,0,59,1.0,0.9840536521743922,1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,1.0,0.9840536521743922,1.0
2026-01-07 19:55:14,1,59,1.0,0.9840536521743922,1.0,0.9638305847076462,0.9562780132643657,1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,0.981915292353823,0.970165832719379,1.0
2026-01-07 19:59:11,2,59,1.0,0.9840536521743922,1.0,0.9638305847076462,0.9562780132643657,1.0,0.9585161547666534,0.9867303462199501,1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,0.9741155798247666,0.9756873372195694,1.0
2026-01-07 20:04:18,3,59,1.0,0.9840536521743922,1.0,0.9638305847076462,0.9562780132643657,1.0,0.9585161547666534,0.9867303462199501,1.0,0.9819422150882825,0.98986440040165,1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,0.9760722386406455,0.9792316030150895,1.0
2026-01-07 20:09:10,4,59,1.0,0.9840536521743922,1.0,0.9638305847076462,0.9562780132643657,1.0,0.9585161547666534,0.9867303462199501,1.0,0.9819422150882825,0.98986440040165,1.0,0.8604845446950711,0.967084702207546,1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,0.9529546998515306,0.9768022228535808,1.0
2026-01-07 20:16:20,5,59,1.0,0.9840536521743922,1.0,0.9638305847076462,0.9562780132643657,1.0,0.9585161547666534,0.9867303462199501,1.0,0.9819422150882825,0.98986440040165,1.0,0.8604845446950711,0.967084702207546,1.0,0.9964285714285714,0.9863292511137655,1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,0.9602003451143707,0.9783900608969449,1.0
2026-01-07 20:21:20,6,59,1.0,0.9840536521743922,1.0,0.9638305847076462,0.9562780132643657,1.0,0.9585161547666534,0.9867303462199501,1.0,0.9819422150882825,0.98986440040165,1.0,0.8604845446950711,0.967084702207546,1.0,0.9964285714285714,0.9863292511137655,1.0,1.0,0.9930780519278438,1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,0.965886010098032,0.9804883453299305,1.0
2026-01-07 20:25:53,7,59,1.0,0.9840536521743922,1.0,0.9638305847076462,0.9562780132643657,1.0,0.9585161547666534,0.9867303462199501,1.0,0.9819422150882825,0.98986440040165,1.0,0.8604845446950711,0.967084702207546,1.0,0.9964285714285714,0.9863292511137655,1.0,1.0,0.9930780519278438,1.0,1.0,0.9592017995536423,1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,0.9701502588357781,0.9778275271078944,1.0
2026-01-07 20:31:36,8,59,1.0,0.9840536521743922,1.0,0.9638305847076462,0.9562780132643657,1.0,0.9585161547666534,0.9867303462199501,1.0,0.9819422150882825,0.98986440040165,1.0,0.8604845446950711,0.967084702207546,1.0,0.9964285714285714,0.9863292511137655,1.0,1.0,0.9930780519278438,1.0,1.0,0.9592017995536423,1.0,0.9890889252591382,0.9871112632650351,1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,0.9722545551050403,0.9788590533475767,1.0
2026-01-07 20:38:28,9,59,1.0,0.9840536521743922,1.0,0.9638305847076462,0.9562780132643657,1.0,0.9585161547666534,0.9867303462199501,1.0,0.9819422150882825,0.98986440040165,1.0,0.8604845446950711,0.967084702207546,1.0,0.9964285714285714,0.9863292511137655,1.0,1.0,0.9930780519278438,1.0,1.0,0.9592017995536423,1.0,0.9890889252591382,0.9871112632650351,1.0,0.8604222176675549,0.9739237637771373,1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,0.9610713213612918,0.9783655243905327,1.0
2026-01-07 20:44:03,10,59,1.0,0.9840536521743922,1.0,0.9638305847076462,0.9562780132643657,1.0,0.9585161547666534,0.9867303462199501,1.0,0.9819422150882825,0.98986440040165,1.0,0.8604845446950711,0.967084702207546,1.0,0.9964285714285714,0.9863292511137655,1.0,1.0,0.9930780519278438,1.0,1.0,0.9592017995536423,1.0,0.9890889252591382,0.9871112632650351,1.0,0.8604222176675549,0.9739237637771373,1.0,0.9996392496392497,0.9639016376150018,1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,0.964577496659288,0.9770506255927572,1.0
2026-01-07 20:46:57,11,59,1.0,0.9840536521743922,1.0,0.9638305847076462,0.9562780132643657,1.0,0.9585161547666534,0.9867303462199501,1.0,0.9819422150882825,0.98986440040165,1.0,0.8604845446950711,0.967084702207546,1.0,0.9964285714285714,0.9863292511137655,1.0,1.0,0.9930780519278438,1.0,1.0,0.9592017995536423,1.0,0.9890889252591382,0.9871112632650351,1.0,0.8604222176675549,0.9739237637771373,1.0,0.9996392496392497,0.9639016376150018,1.0,0.9055555555555554,0.9801824260012532,1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,0.9596590015673102,0.9773116089601319,1.0
2026-01-07 20:52:33,12,59,1.0,0.9840536521743922,1.0,0.9638305847076462,0.9562780132643657,1.0,0.9585161547666534,0.9867303462199501,1.0,0.9819422150882825,0.98986440040165,1.0,0.8604845446950711,0.967084702207546,1.0,0.9964285714285714,0.9863292511137655,1.0,1.0,0.9930780519278438,1.0,1.0,0.9592017995536423,1.0,0.9890889252591382,0.9871112632650351,1.0,0.8604222176675549,0.9739237637771373,1.0,0.9996392496392497,0.9639016376150018,1.0,0.9055555555555554,0.9801824260012532,1.0,0.9612499999999999,0.9038638780490408,1.0,-1,-1,-1.0,-1,-1,-1.0,0.9597813860621325,0.9716617835054326,1.0
2026-01-07 20:58:48,13,59,1.0,0.9840536521743922,1.0,0.9638305847076462,0.9562780132643657,1.0,0.9585161547666534,0.9867303462199501,1.0,0.9819422150882825,0.98986440040165,1.0,0.8604845446950711,0.967084702207546,1.0,0.9964285714285714,0.9863292511137655,1.0,1.0,0.9930780519278438,1.0,1.0,0.9592017995536423,1.0,0.9890889252591382,0.9871112632650351,1.0,0.8604222176675549,0.9739237637771373,1.0,0.9996392496392497,0.9639016376150018,1.0,0.9055555555555554,0.9801824260012532,1.0,0.9612499999999999,0.9038638780490408,1.0,0.9543859649122808,0.9416440545680991,1.0,-1,-1,-1.0,0.9593959988371431,0.9695176600099088,1.0
2026-01-07 21:05:00,14,59,1.0,0.9840536521743922,1.0,0.9638305847076462,0.9562780132643657,1.0,0.9585161547666534,0.9867303462199501,1.0,0.9819422150882825,0.98986440040165,1.0,0.8604845446950711,0.967084702207546,1.0,0.9964285714285714,0.9863292511137655,1.0,1.0,0.9930780519278438,1.0,1.0,0.9592017995536423,1.0,0.9890889252591382,0.9871112632650351,1.0,0.8604222176675549,0.9739237637771373,1.0,0.9996392496392497,0.9639016376150018,1.0,0.9055555555555554,0.9801824260012532,1.0,0.9612499999999999,0.9038638780490408,1.0,0.9543859649122808,0.9416440545680991,1.0,0.9871323529411764,0.9729312588565822,1.0,0.9612450891107452,0.9697452332663536,1.0
