Task ID,Class Name,Routing Acc (%),Image AUC,Pixel AUC,Image AP,Pixel AP
0,leather,100.00,1.0000,0.9720,1.0000,0.1899
1,grid,100.00,0.8463,0.9082,0.9417,0.1494
2,transistor,100.00,0.7742,0.9270,0.7469,0.5214
Mean,Overall,100.00,0.8735*,0.9357*,0.8962*,0.2869*
