Task ID,Class Name,Routing Acc (%),Image AUC,Pixel AUC,Image AP,Pixel AP
0,candle,100.00,0.8169,0.9671,0.7600,0.1751
1,capsules,100.00,0.6815,0.9523,0.7802,0.1880
2,cashew,100.00,0.8128,0.9767,0.8998,0.3889
3,chewinggum,100.00,0.8278,0.9864,0.8695,0.4552
4,fryum,100.00,0.9526,0.9093,0.9779,0.4283
5,macaroni1,100.00,0.7351,0.9704,0.6718,0.0555
6,macaroni2,100.00,0.6893,0.9006,0.6646,0.0078
7,pcb1,100.00,0.8293,0.9871,0.7794,0.3798
8,pcb2,100.00,0.7491,0.9610,0.7363,0.0911
9,pcb3,100.00,0.7635,0.9759,0.7695,0.2331
10,pcb4,100.00,0.9450,0.9696,0.8900,0.2282
11,pipe_fryum,100.00,0.9128,0.9858,0.9396,0.4945
Mean,Overall,100.00,0.8096*,0.9619*,0.8115*,0.2605*
