Task ID,Class Name,Routing Acc (%),Image AUC,Pixel AUC,Image AP,Pixel AP
0,bottle,100.00,1.0000,0.9672,1.0000,0.4803
1,cable,100.00,0.9908,0.9761,0.9949,0.6625
2,capsule,100.00,0.9489,0.9847,0.9881,0.3478
3,carpet,100.00,0.9912,0.9821,0.9974,0.4345
4,grid,100.00,0.9850,0.9761,0.9952,0.2187
5,hazelnut,100.00,1.0000,0.9854,1.0000,0.5361
6,leather,100.00,1.0000,0.9811,1.0000,0.2287
7,metal_nut,100.00,1.0000,0.9859,1.0000,0.8766
8,pill,100.00,0.9801,0.9888,0.9966,0.8162
9,screw,100.00,0.8957,0.9829,0.9592,0.2036
10,tile,100.00,1.0000,0.9593,1.0000,0.6629
11,toothbrush,100.00,0.8944,0.9813,0.9535,0.4174
12,transistor,100.00,1.0000,0.9698,1.0000,0.6740
13,wood,100.00,0.9886,0.9189,0.9966,0.3185
14,zipper,100.00,0.9882,0.9720,0.9969,0.2864
Mean,Overall,100.00,0.9775*,0.9741*,0.9919*,0.4776*
