Task ID,Class Name,Routing Acc (%),Image AUC,Pixel AUC,Image AP,Pixel AP
0,bottle,100.00,1.0000,0.9827,1.0000,0.7217
1,cable,100.00,0.9919,0.9770,0.9959,0.6142
2,capsule,100.00,0.9693,0.9863,0.9932,0.3828
3,carpet,100.00,0.9964,0.9901,0.9989,0.6550
4,grid,100.00,0.9925,0.9771,0.9974,0.2675
5,hazelnut,100.00,1.0000,0.9870,1.0000,0.5808
6,leather,100.00,1.0000,0.9929,1.0000,0.4390
7,metal_nut,100.00,1.0000,0.9720,1.0000,0.7592
8,pill,100.00,0.9910,0.9898,0.9985,0.8106
9,screw,100.00,0.9205,0.9814,0.9687,0.2286
10,tile,100.00,1.0000,0.9677,1.0000,0.6582
11,toothbrush,100.00,0.9194,0.9843,0.9658,0.5345
12,transistor,100.00,0.9912,0.9702,0.9851,0.6511
13,wood,100.00,0.9895,0.9418,0.9966,0.4670
14,zipper,100.00,0.9942,0.9751,0.9985,0.3546
Mean,Overall,100.00,0.9837*,0.9784*,0.9932*,0.5416*
