task_id,epoch,stage,loss,ewc_loss,learning_rate,class_name,img_auc,pixel_auc,img_ap,pixel_ap,routing_accuracy
1,5.0,FAST,-34949.46484375,0.0,9.75772975566101e-05,,,,,,
1,6.0,FAST,-37433.154296875,0.0,9.623203685930868e-05,,,,,,
1,7.0,FAST,-39731.771240234375,0.0,9.46048229473242e-05,,,,,,
1,8.0,FAST,-41735.58642578125,0.0,9.270568813552755e-05,,,,,,
1,9.0,FAST,-43543.485595703125,0.0,9.054634122155989e-05,,,,,,
1,10.0,FAST,-44977.275146484375,0.0,8.814009529720152e-05,,,,,,
1,11.0,FAST,-46344.3388671875,0.0,8.550178566873408e-05,,,,,,
1,12.0,FAST,-47673.9423828125,0.0,8.264767839234409e-05,,,,,,
1,13.0,FAST,-48738.734619140625,0.0,7.959536998847741e-05,,,,,,
1,14.0,FAST,-49571.318115234375,0.0,7.636367895343945e-05,,,,,,
1,15.0,FAST,-50449.8310546875,0.0,7.297252973710755e-05,,,,,,
1,16.0,FAST,-51190.25048828125,0.0,6.944282990207194e-05,,,,,,
1,17.0,FAST,-51932.13134765625,0.0,6.57963412215599e-05,,,,,,
1,18.0,FAST,-52565.417724609375,0.0,6.205554551086731e-05,,,,,,
1,19.0,FAST,-53069.128662109375,0.0,5.824350601949142e-05,,,,,,
1,20.0,FAST,-53651.039794921875,0.0,5.438372523852832e-05,,,,,,
1,21.0,FAST,-54180.148193359375,0.0,5.0499999999999994e-05,,,,,,
1,22.0,FAST,-54596.3466796875,0.0,4.6616274761471674e-05,,,,,,
1,23.0,FAST,-55078.04736328125,0.0,4.275649398050858e-05,,,,,,
1,24.0,FAST,-55533.88330078125,0.0,3.894445448913268e-05,,,,,,
1,25.0,FAST,-55973.55078125,0.0,3.52036587784401e-05,,,,,,
1,26.0,FAST,-56276.0693359375,0.0,3.155717009792805e-05,,,,,,
1,27.0,FAST,-56637.181884765625,0.0,2.802747026289243e-05,,,,,,
1,28.0,FAST,-56964.328857421875,0.0,2.463632104656053e-05,,,,,,
1,29.0,FAST,-57159.2978515625,0.0,2.1404630011522583e-05,,,,,,
1,30.0,FAST,-57327.3896484375,0.0,1.835232160765591e-05,,,,,,
1,31.0,FAST,-57477.66552734375,0.0,1.5498214331265897e-05,,,,,,
1,32.0,FAST,-57758.539306640625,0.0,1.2859904702798466e-05,,,,,,
1,33.0,FAST,-57798.600341796875,0.0,1.0453658778440104e-05,,,,,,
1,34.0,FAST,-57867.3115234375,0.0,8.294311864472434e-06,,,,,,
1,35.0,FAST,-58046.650390625,0.0,6.395177052675791e-06,,,,,,
1,36.0,FAST,-58035.0185546875,0.0,4.767963140691304e-06,,,,,,
1,37.0,FAST,-58116.18603515625,0.0,3.4227024433898985e-06,,,,,,
1,38.0,FAST,-58113.6826171875,0.0,2.3676889403150093e-06,,,,,,
1,39.0,FAST,-58122.576416015625,0.0,1.6094271405406855e-06,,,,,,
2,0.0,FAST,74755.44711538461,0.0,5e-05,,,,,,
2,1.0,FAST,8431.521334134615,0.0,0.0001,,,,,,
2,2.0,FAST,-12248.864408052885,0.0,9.984740801978984e-05,,,,,,
2,3.0,FAST,-15800.273963341346,0.0,9.939057285945931e-05,,,,,,
2,4.0,FAST,-17936.017127403848,0.0,9.863231105968498e-05,,,,,,
2,5.0,FAST,-20313.12635216346,0.0,9.75772975566101e-05,,,,,,
2,6.0,FAST,-23037.204326923078,0.0,9.623203685930868e-05,,,,,,
2,7.0,FAST,-25805.727013221152,0.0,9.46048229473242e-05,,,,,,
2,8.0,FAST,-28594.17578125,0.0,9.270568813552755e-05,,,,,,
2,9.0,FAST,-31238.84825721154,0.0,9.054634122155989e-05,,,,,,
2,10.0,FAST,-33574.31189903846,0.0,8.814009529720152e-05,,,,,,
2,11.0,FAST,-35694.823918269234,0.0,8.550178566873408e-05,,,,,,
2,12.0,FAST,-37591.13461538462,0.0,8.264767839234409e-05,,,,,,
2,13.0,FAST,-39222.427283653844,0.0,7.959536998847741e-05,,,,,,
2,14.0,FAST,-40643.94350961538,0.0,7.636367895343945e-05,,,,,,
2,15.0,FAST,-41749.506911057695,0.0,7.297252973710755e-05,,,,,,
2,16.0,FAST,-42771.402644230766,0.0,6.944282990207194e-05,,,,,,
2,17.0,FAST,-43579.11838942308,0.0,6.57963412215599e-05,,,,,,
2,18.0,FAST,-44325.577223557695,0.0,6.205554551086731e-05,,,,,,
2,19.0,FAST,-44964.66616586538,0.0,5.824350601949142e-05,,,,,,
2,20.0,FAST,-45557.40805288462,0.0,5.438372523852832e-05,,,,,,
2,21.0,FAST,-46128.86989182692,0.0,5.0499999999999994e-05,,,,,,
2,22.0,FAST,-46568.139122596156,0.0,4.6616274761471674e-05,,,,,,
2,23.0,FAST,-46922.070612980766,0.0,4.275649398050858e-05,,,,,,
2,24.0,FAST,-47311.831129807695,0.0,3.894445448913268e-05,,,,,,
2,25.0,FAST,-47590.128004807695,0.0,3.52036587784401e-05,,,,,,
2,26.0,FAST,-47923.049278846156,0.0,3.155717009792805e-05,,,,,,
2,27.0,FAST,-48234.87710336538,0.0,2.802747026289243e-05,,,,,,
2,28.0,FAST,-48475.289362980766,0.0,2.463632104656053e-05,,,,,,
2,29.0,FAST,-48697.390625,0.0,2.1404630011522583e-05,,,,,,
2,30.0,FAST,-48826.051682692305,0.0,1.835232160765591e-05,,,,,,
2,31.0,FAST,-49064.178185096156,0.0,1.5498214331265897e-05,,,,,,
2,32.0,FAST,-49203.16286057692,0.0,1.2859904702798466e-05,,,,,,
2,33.0,FAST,-49277.7265625,0.0,1.0453658778440104e-05,,,,,,
2,34.0,FAST,-49353.28695913462,0.0,8.294311864472434e-06,,,,,,
2,35.0,FAST,-49476.3671875,0.0,6.395177052675791e-06,,,,,,
2,36.0,FAST,-49518.25961538462,0.0,4.767963140691304e-06,,,,,,
2,37.0,FAST,-49572.83924278846,0.0,3.4227024433898985e-06,,,,,,
2,38.0,FAST,-49617.303185096156,0.0,2.3676889403150093e-06,,,,,,
2,39.0,FAST,-49605.71364182692,0.0,1.6094271405406855e-06,,,,,,
0,,,,,,leather,1.0,0.9481139173310291,0.0,0.0,1.0
0,,,,,,Task_0_Average,1.0,0.9481139173310291,0.0,0.0,1.0
-1,,,,,,Overall_Average,1.0,0.9481139173310291,0.0,0.0,1.0
0,,,,,,leather,1.0,0.9481139173310291,0.0,0.0,1.0
1,,,,,,grid,0.8203842940685047,0.9259115452840133,0.0,0.0,1.0
0,,,,,,Task_0_Average,1.0,0.9481139173310291,0.0,0.0,1.0
1,,,,,,Task_1_Average,0.8203842940685047,0.9259115452840133,0.0,0.0,1.0
-1,,,,,,Overall_Average,0.9101921470342523,0.9370127313075212,0.0,0.0,1.0
0,,,,,,leather,1.0,0.9481139173310291,0.0,0.0,1.0
1,,,,,,grid,0.8203842940685047,0.9259115452840133,0.0,0.0,1.0
2,,,,,,transistor,0.6654166666666668,0.7143518008273251,0.0,0.0,1.0
0,,,,,,Task_0_Average,1.0,0.9481139173310291,0.0,0.0,1.0
1,,,,,,Task_1_Average,0.8203842940685047,0.9259115452840133,0.0,0.0,1.0
2,,,,,,Task_2_Average,0.6654166666666668,0.7143518008273251,0.0,0.0,1.0
-1,,,,,,Overall_Average,0.8286003202450573,0.8627924211474558,0.0,0.0,1.0
