Task ID,Class Name,Routing Acc (%),Image AUC,Pixel AUC,Image AP,Pixel AP
0,candle,100.00,0.9003,0.8786,0.9214,0.0547
1,capsules,100.00,0.8792,0.9559,0.9330,0.2813
2,cashew,100.00,0.9754,0.9798,0.9871,0.6809
3,chewinggum,99.33,0.9238,0.9364,0.9668,0.1030
4,fryum,100.00,0.9306,0.9361,0.9670,0.3081
5,macaroni1,100.00,0.8597,0.9036,0.8472,0.0237
6,macaroni2,100.00,0.6537,0.8000,0.6161,0.0046
7,pcb1,100.00,0.9484,0.9826,0.9381,0.5563
8,pcb2,100.00,0.9005,0.9554,0.9007,0.1080
9,pcb3,100.00,0.8438,0.9380,0.8554,0.1687
10,pcb4,100.00,0.9634,0.9306,0.9518,0.1648
11,pipe_fryum,98.67,0.9504,0.9847,0.9764,0.3322
Mean,Overall,99.83,0.8941*,0.9318*,0.9051*,0.2322*
