Task ID,Class Name,Routing Acc (%),Image AUC,Pixel AUC,Image AP,Pixel AP
0,leather,100.00,1.0000,0.9437,1.0000,0.0697
1,grid,100.00,0.7118,0.8376,0.8906,0.1119
2,transistor,100.00,0.6371,0.8520,0.6353,0.2828
3,carpet,100.00,0.9543,0.9415,0.9868,0.2728
4,zipper,100.00,0.9304,0.9164,0.9765,0.2558
5,hazelnut,100.00,0.7039,0.8787,0.8157,0.1542
6,toothbrush,83.33,0.7056,0.5447,0.8821,0.0176
7,metal_nut,100.00,0.8558,0.8527,0.9621,0.3482
8,screw,100.00,0.1234,0.4882,0.5708,0.0031
9,wood,100.00,0.9053,0.8538,0.9658,0.2763
10,tile,86.32,0.9939,0.7850,0.9976,0.1655
11,capsule,100.00,0.7120,0.9014,0.9228,0.1218
12,pill,98.20,0.6448,0.8962,0.9146,0.2424
13,cable,99.33,0.7993,0.8315,0.8699,0.2645
14,bottle,100.00,0.9913,0.9498,0.9973,0.5137
Mean,Overall,97.81,0.7779*,0.8315*,0.8925*,0.2067*
