Task ID,Class Name,Routing Acc (%),Image AUC,Pixel AUC,Image AP,Pixel AP
0,bottle,100.00,1.0000,0.9804,1.0000,0.6580
1,cable,100.00,0.9882,0.9757,0.9936,0.6368
2,capsule,100.00,0.9649,0.9868,0.9915,0.4077
3,carpet,100.00,0.9936,0.9876,0.9982,0.5718
4,grid,100.00,0.9916,0.9759,0.9971,0.2369
5,hazelnut,100.00,1.0000,0.9849,1.0000,0.5222
6,leather,100.00,1.0000,0.9905,1.0000,0.3522
7,metal_nut,100.00,1.0000,0.9755,1.0000,0.8000
8,pill,100.00,0.9896,0.9894,0.9982,0.8099
9,screw,100.00,0.9242,0.9842,0.9702,0.2148
10,tile,100.00,1.0000,0.9631,1.0000,0.6704
11,toothbrush,100.00,0.9167,0.9843,0.9642,0.5033
12,transistor,100.00,0.9946,0.9629,0.9909,0.6402
13,wood,100.00,0.9886,0.9353,0.9966,0.4339
14,zipper,100.00,0.9924,0.9757,0.9980,0.3483
Mean,Overall,100.00,0.9830*,0.9768*,0.9932*,0.5204*
