Task ID,Class Name,Routing Acc (%),Image AUC,Pixel AUC,Image AP,Pixel AP
0,leather,100.00,1.0000,0.9722,1.0000,0.1902
1,grid,100.00,0.8421,0.9080,0.9407,0.1493
2,transistor,100.00,0.7729,0.9260,0.7379,0.5142
3,carpet,100.00,0.9683,0.9651,0.9908,0.4541
4,zipper,100.00,0.9354,0.8531,0.9741,0.1863
5,hazelnut,100.00,0.9521,0.9680,0.9702,0.4002
6,toothbrush,97.62,0.7750,0.9457,0.9127,0.1411
7,metal_nut,100.00,0.9457,0.9777,0.9877,0.8757
8,screw,100.00,0.4204,0.8563,0.7133,0.0275
9,wood,100.00,0.9789,0.8953,0.9936,0.4854
10,tile,100.00,1.0000,0.8828,1.0000,0.4107
11,capsule,100.00,0.6701,0.9386,0.9058,0.1528
12,pill,98.80,0.8194,0.9512,0.9601,0.4055
13,cable,100.00,0.8750,0.9099,0.9263,0.4404
14,bottle,100.00,0.9992,0.9577,0.9998,0.5507
Mean,Overall,99.76,0.8636*,0.9272*,0.9342*,0.3589*
