Task ID,Class Name,Routing Acc (%),Image AUC,Pixel AUC,Image AP,Pixel AP
0,candle,100.00,0.8308,0.7905,0.8277,0.1096
1,capsules,100.00,0.7347,0.9580,0.8400,0.3316
2,cashew,100.00,0.8910,0.9113,0.9448,0.3422
3,chewinggum,100.00,0.9056,0.9759,0.9306,0.3900
4,fryum,100.00,0.9370,0.7854,0.9714,0.3510
5,macaroni1,100.00,0.7859,0.9227,0.7610,0.0718
6,macaroni2,100.00,0.6724,0.8096,0.6792,0.0139
7,pcb1,100.00,0.9001,0.9813,0.8933,0.5888
8,pcb2,100.00,0.8290,0.9295,0.8237,0.1145
9,pcb3,100.00,0.8409,0.9633,0.8461,0.2628
10,pcb4,100.00,0.9493,0.9277,0.9073,0.2490
11,pipe_fryum,100.00,0.9374,0.9227,0.9605,0.4049
Mean,Overall,100.00,0.8512*,0.9065*,0.8655*,0.2692*
