Task ID,Class Name,Routing Acc (%),Image AUC,Pixel AUC,Image AP,Pixel AP
0,candle,100.00,0.8288,0.9767,0.7868,0.1886
1,capsules,100.00,0.6687,0.9276,0.7696,0.1418
2,cashew,100.00,0.8072,0.9727,0.8972,0.3821
3,chewinggum,100.00,0.8016,0.9846,0.8538,0.4390
4,fryum,100.00,0.9572,0.9135,0.9799,0.4240
5,macaroni1,100.00,0.7334,0.9782,0.6710,0.0584
6,macaroni2,100.00,0.6910,0.9118,0.6783,0.0071
7,pcb1,100.00,0.8246,0.9842,0.7712,0.3523
8,pcb2,100.00,0.7447,0.9598,0.7384,0.0888
9,pcb3,100.00,0.7791,0.9705,0.7866,0.2463
10,pcb4,100.00,0.9465,0.9690,0.8934,0.2261
11,pipe_fryum,100.00,0.9158,0.9850,0.9496,0.4805
Mean,Overall,100.00,0.8082*,0.9611*,0.8147*,0.2529*
