Task ID,Class Name,Routing Acc (%),Image AUC,Pixel AUC,Image AP,Pixel AP
0,bottle,100.00,1.0000,0.9412,1.0000,0.4036
1,cable,100.00,0.9350,0.9084,0.9600,0.3834
2,capsule,100.00,0.7495,0.9257,0.9343,0.1257
3,carpet,100.00,0.9759,0.9573,0.9932,0.4129
4,grid,100.00,0.9315,0.9004,0.9753,0.1285
5,hazelnut,100.00,0.9614,0.9634,0.9705,0.3187
6,leather,100.00,1.0000,0.9568,1.0000,0.1402
7,metal_nut,100.00,0.9804,0.9569,0.9957,0.6245
8,pill,98.80,0.8718,0.9439,0.9725,0.3330
9,screw,100.00,0.4122,0.8357,0.7364,0.0210
10,tile,100.00,1.0000,0.8647,1.0000,0.3003
11,toothbrush,97.62,0.8972,0.9393,0.9612,0.1370
12,transistor,100.00,0.8154,0.9467,0.8114,0.6619
13,wood,100.00,0.9675,0.8875,0.9892,0.4455
14,zipper,100.00,0.9315,0.8698,0.9710,0.1644
Mean,Overall,99.76,0.8953*,0.9199*,0.9514*,0.3067*
