Task ID,Class Name,Routing Acc (%),Image AUC,Pixel AUC,Image AP,Pixel AP
0,bottle,100.00,1.0000,0.9730,1.0000,0.5288
1,cable,100.00,0.9719,0.9693,0.9855,0.6519
2,capsule,100.00,0.8321,0.9845,0.9592,0.3611
3,carpet,100.00,0.9888,0.9825,0.9969,0.3677
4,grid,100.00,0.9841,0.9697,0.9949,0.2034
5,hazelnut,100.00,0.9964,0.9863,0.9980,0.5414
6,leather,100.00,1.0000,0.9860,1.0000,0.2529
7,metal_nut,100.00,0.9961,0.9804,0.9991,0.8554
8,pill,100.00,0.9651,0.9867,0.9939,0.8340
9,screw,100.00,0.7110,0.9671,0.8853,0.1561
10,tile,100.00,1.0000,0.9638,1.0000,0.7118
11,toothbrush,100.00,0.8583,0.9846,0.9351,0.5081
12,transistor,100.00,0.9908,0.9435,0.9863,0.6140
13,wood,100.00,0.9737,0.9297,0.9909,0.3551
14,zipper,100.00,0.9772,0.9748,0.9937,0.3493
Mean,Overall,100.00,0.9497*,0.9721*,0.9812*,0.4861*
