Task ID,Class Name,Routing Acc (%),Image AUC,Pixel AUC,Image AP,Pixel AP
0,candle,100.00,0.8991,0.8919,0.9203,0.0658
1,capsules,100.00,0.8767,0.9665,0.9321,0.3061
2,cashew,100.00,0.9722,0.9807,0.9851,0.6983
3,chewinggum,100.00,0.9358,0.9527,0.9710,0.3679
4,fryum,100.00,0.9384,0.9377,0.9698,0.3085
5,macaroni1,100.00,0.8795,0.9269,0.8740,0.0315
6,macaroni2,100.00,0.6989,0.8084,0.6448,0.0083
7,pcb1,100.00,0.9577,0.9843,0.9504,0.5745
8,pcb2,100.00,0.9147,0.9611,0.9160,0.0975
9,pcb3,100.00,0.8758,0.9486,0.8873,0.1885
10,pcb4,100.00,0.9704,0.9462,0.9537,0.1823
11,pipe_fryum,98.67,0.9572,0.9847,0.9798,0.4028
Mean,Overall,99.89,0.9064*,0.9408*,0.9154*,0.2693*
