Task ID,Class Name,Routing Acc (%),Image AUC,Pixel AUC,Image AP,Pixel AP
0,candle,100.00,0.8007,0.9640,0.7190,0.1461
1,capsules,100.00,0.6585,0.9290,0.7537,0.1234
2,cashew,100.00,0.7756,0.9420,0.8736,0.3066
3,chewinggum,100.00,0.7700,0.9842,0.8158,0.4559
4,fryum,100.00,0.9438,0.8784,0.9738,0.3996
5,macaroni1,100.00,0.7258,0.9587,0.6630,0.0456
6,macaroni2,100.00,0.6786,0.8429,0.6558,0.0054
7,pcb1,100.00,0.8070,0.9758,0.7475,0.2942
8,pcb2,100.00,0.7313,0.9389,0.7287,0.0747
9,pcb3,100.00,0.7513,0.9625,0.7599,0.2277
10,pcb4,100.00,0.9378,0.9589,0.8828,0.2012
11,pipe_fryum,100.00,0.8946,0.9823,0.9309,0.4468
Mean,Overall,100.00,0.7896*,0.9431*,0.7920*,0.2273*
