Task ID,Class Name,Routing Acc (%),Image AUC,Pixel AUC,Image AP,Pixel AP
0,bottle,100.00,1.0000,0.9772,1.0000,0.6097
1,cable,100.00,0.9788,0.9723,0.9887,0.6551
2,capsule,100.00,0.9581,0.9866,0.9905,0.3809
3,carpet,100.00,0.9932,0.9852,0.9980,0.4846
4,grid,100.00,0.9992,0.9773,0.9997,0.2387
5,hazelnut,100.00,0.9989,0.9867,0.9994,0.5629
6,leather,100.00,1.0000,0.9877,1.0000,0.2845
7,metal_nut,100.00,1.0000,0.9812,1.0000,0.8556
8,pill,100.00,0.9869,0.9895,0.9978,0.8152
9,screw,100.00,0.9201,0.9822,0.9708,0.2118
10,tile,100.00,1.0000,0.9658,1.0000,0.7238
11,toothbrush,100.00,0.9083,0.9833,0.9594,0.5172
12,transistor,100.00,0.9975,0.9702,0.9961,0.6770
13,wood,100.00,0.9772,0.9341,0.9922,0.4099
14,zipper,100.00,0.9908,0.9756,0.9975,0.3514
Mean,Overall,100.00,0.9806*,0.9770*,0.9927*,0.5185*
