class_name,task_id,img_auc,pixel_auc,is_current_task,routing_accuracy
bottle,0,1.0,0.9826018824433649,False,1.0
cable,1,0.9866941529235382,0.9776161427675876,False,1.0
capsule,2,0.9724770642201834,0.9859807512399126,False,1.0
carpet,3,0.9959871589085072,0.9888670668687003,False,1.0
grid,4,0.9832915622389307,0.976431536036282,False,1.0
hazelnut,5,0.9992857142857142,0.9850784024794379,False,1.0
leather,6,1.0,0.9926289113656944,False,1.0
metal_nut,7,1.0,0.9726770756427029,False,1.0
pill,8,0.9918166939443536,0.9891802176435966,False,1.0
screw,9,0.9137118261938921,0.9837092116679356,False,1.0
tile,10,1.0,0.9637052877186773,False,1.0
toothbrush,11,0.9166666666666666,0.9844840759159046,False,1.0
transistor,12,0.98625,0.969677065791401,True,1.0
Average,,0.9804754491832143,0.9809721251985537,,1.0
Task_0_Average,0,1.0,0.9826018824433649,,1.0
Task_1_Average,1,0.9866941529235382,0.9776161427675876,,1.0
Task_2_Average,2,0.9724770642201834,0.9859807512399126,,1.0
Task_3_Average,3,0.9959871589085072,0.9888670668687003,,1.0
Task_4_Average,4,0.9832915622389307,0.976431536036282,,1.0
Task_5_Average,5,0.9992857142857142,0.9850784024794379,,1.0
Task_6_Average,6,1.0,0.9926289113656944,,1.0
Task_7_Average,7,1.0,0.9726770756427029,,1.0
Task_8_Average,8,0.9918166939443536,0.9891802176435966,,1.0
Task_9_Average,9,0.9137118261938921,0.9837092116679356,,1.0
Task_10_Average,10,1.0,0.9637052877186773,,1.0
Task_11_Average,11,0.9166666666666666,0.9844840759159046,,1.0
Task_12_Average,12,0.98625,0.969677065791401,,1.0
