Task ID,Class Name,Routing Acc (%),Image AUC,Pixel AUC,Image AP,Pixel AP
0,bottle,100.00,1.0000,0.9701,1.0000,0.5005
1,cable,100.00,0.9891,0.9719,0.9939,0.6472
2,capsule,100.00,0.9477,0.9869,0.9878,0.3745
3,carpet,100.00,0.9872,0.9820,0.9964,0.3946
4,grid,100.00,0.9791,0.9755,0.9934,0.2175
5,hazelnut,100.00,1.0000,0.9851,1.0000,0.5257
6,leather,100.00,1.0000,0.9821,1.0000,0.2292
7,metal_nut,100.00,0.9995,0.9808,0.9999,0.8382
8,pill,100.00,0.9842,0.9877,0.9973,0.8028
9,screw,100.00,0.8936,0.9852,0.9571,0.2161
10,tile,100.00,1.0000,0.9562,1.0000,0.5614
11,toothbrush,100.00,0.8972,0.9830,0.9544,0.3892
12,transistor,100.00,0.9987,0.9457,0.9981,0.6123
13,wood,100.00,0.9886,0.9276,0.9966,0.3343
14,zipper,100.00,0.9929,0.9772,0.9982,0.3454
Mean,Overall,100.00,0.9772*,0.9731*,0.9915*,0.4659*
