class_name,task_id,img_auc,pixel_auc,is_current_task,routing_accuracy
bottle,0,0.4293650793650794,0.6989132727496341,False,1.0
cable,1,0.46045727136431785,0.7039805421265105,False,1.0
capsule,2,0.530913442361388,0.8645457760862109,False,1.0
carpet,3,0.579454253611557,0.9510065914978769,True,1.0
Average,,0.5000475116755856,0.8046115456150581,,1.0
Task_0_Average,0,0.4293650793650794,0.6989132727496341,,1.0
Task_1_Average,1,0.46045727136431785,0.7039805421265105,,1.0
Task_2_Average,2,0.530913442361388,0.8645457760862109,,1.0
Task_3_Average,3,0.579454253611557,0.9510065914978769,,1.0
