Task ID,Class Name,Routing Acc (%),Image AUC,Pixel AUC,Image AP,Pixel AP
0,bottle,100.00,1.0000,0.9827,1.0000,0.7036
1,cable,100.00,0.9931,0.9759,0.9961,0.6221
2,capsule,100.00,0.9613,0.9860,0.9910,0.3773
3,carpet,100.00,0.9952,0.9892,0.9986,0.6127
4,grid,100.00,0.9875,0.9762,0.9956,0.2429
5,hazelnut,100.00,0.9996,0.9860,0.9998,0.5399
6,leather,100.00,1.0000,0.9928,1.0000,0.4143
7,metal_nut,100.00,1.0000,0.9727,1.0000,0.7776
8,pill,100.00,0.9910,0.9898,0.9985,0.8112
9,screw,100.00,0.9158,0.9822,0.9659,0.2207
10,tile,100.00,1.0000,0.9652,1.0000,0.6194
11,toothbrush,100.00,0.9000,0.9840,0.9550,0.5219
12,transistor,100.00,0.9929,0.9698,0.9876,0.6466
13,wood,100.00,0.9877,0.9414,0.9962,0.4733
14,zipper,100.00,0.9913,0.9754,0.9977,0.3675
Mean,Overall,100.00,0.9810*,0.9779*,0.9921*,0.5301*
