metric,value
experiment_name,baseline_v2
strategy,MoLE-Flow
final_average_img_auc,0.9307075773673313
final_average_pixel_auc,0.9237717371941866
total_classes,3
total_tasks,3
final_routing_accuracy,1.0
---ablation_config---,
use_lora,True
use_router,True
use_task_adapter,True
use_pos_embedding,True
use_task_bias,True
use_mahalanobis,True
---class_results---,
leather_img_auc,0.9996603260869565
leather_pixel_auc,0.8899567042209005
grid_img_auc,0.9849624060150375
grid_pixel_auc,0.9840914034703518
transistor_img_auc,0.8075
transistor_pixel_auc,0.8972671038913077
---additional_metrics---,
overall_routing_accuracy,1.0
task_0_routing_accuracy,1.0
task_1_routing_accuracy,1.0
task_2_routing_accuracy,1.0
oracle_mean_img_auc,0.9307075773673313
oracle_mean_pixel_auc,0.9237717371941866
