Task ID,Class Name,Routing Acc (%),Image AUC,Pixel AUC,Image AP,Pixel AP
0,bottle,N/A,1.0000,0.9642,1.0000,0.4536
1,cable,N/A,0.9921,0.9753,0.9955,0.6545
2,capsule,N/A,0.9497,0.9852,0.9885,0.3461
3,carpet,N/A,0.9860,0.9792,0.9960,0.3571
4,grid,N/A,0.9858,0.9755,0.9955,0.2068
5,hazelnut,N/A,1.0000,0.9849,1.0000,0.5108
6,leather,N/A,1.0000,0.9816,1.0000,0.2242
7,metal_nut,N/A,1.0000,0.9842,1.0000,0.8653
8,pill,N/A,0.9812,0.9888,0.9968,0.8076
9,screw,N/A,0.8920,0.9833,0.9576,0.2088
10,tile,N/A,1.0000,0.9567,1.0000,0.6699
11,toothbrush,N/A,0.9278,0.9815,0.9694,0.4345
12,transistor,N/A,1.0000,0.9666,1.0000,0.6536
13,wood,N/A,0.9904,0.9210,0.9970,0.3357
14,zipper,N/A,0.9921,0.9733,0.9980,0.2975
Mean,Overall,N/A,0.9798*,0.9734*,0.9930*,0.4684*
