Task ID,Class Name,Routing Acc (%),Image AUC,Pixel AUC,Image AP,Pixel AP
0,bottle,100.00,1.0000,0.9794,1.0000,0.6449
1,cable,100.00,0.9494,0.9645,0.9705,0.4671
2,capsule,100.00,0.9545,0.9868,0.9889,0.4394
3,carpet,100.00,0.9908,0.9882,0.9974,0.5438
4,grid,100.00,0.9758,0.9627,0.9917,0.2078
5,hazelnut,100.00,0.9996,0.9836,0.9998,0.5121
6,leather,100.00,1.0000,0.9909,1.0000,0.3585
7,metal_nut,100.00,0.9922,0.9793,0.9984,0.7820
8,pill,100.00,0.9588,0.9873,0.9908,0.7591
9,screw,100.00,0.8858,0.9589,0.9590,0.2028
10,tile,100.00,1.0000,0.9565,1.0000,0.5322
11,toothbrush,100.00,0.9056,0.9532,0.9616,0.4169
12,transistor,100.00,0.9862,0.9622,0.9796,0.6401
13,wood,100.00,0.9895,0.9360,0.9969,0.4269
14,zipper,100.00,0.9861,0.9781,0.9962,0.3753
Mean,Overall,100.00,0.9716*,0.9712*,0.9887*,0.4873*
