Task ID,Class Name,Routing Acc (%),Image AUC,Pixel AUC,Image AP,Pixel AP
0,bottle,100.00,1.0000,0.9642,1.0000,0.4536
1,cable,100.00,0.9884,0.9750,0.9940,0.6576
2,capsule,100.00,0.9609,0.9854,0.9904,0.3511
3,screw,100.00,0.9067,0.9831,0.9649,0.2005
4,toothbrush,100.00,0.8778,0.9817,0.9412,0.4531
Mean,Overall,100.00,0.9468*,0.9779*,0.9781*,0.4232*
