Task ID,Class Name,Routing Acc (%),Image AUC,Pixel AUC,Image AP,Pixel AP
0,candle,100.00,0.8999,0.8918,0.9207,0.0670
1,capsules,100.00,0.8753,0.9662,0.9313,0.3056
2,cashew,100.00,0.9744,0.9807,0.9864,0.6977
3,chewinggum,100.00,0.9380,0.9524,0.9718,0.3597
4,fryum,100.00,0.9360,0.9376,0.9689,0.3066
5,macaroni1,100.00,0.8809,0.9263,0.8747,0.0315
6,macaroni2,100.00,0.6961,0.8078,0.6396,0.0081
7,pcb1,100.00,0.9578,0.9843,0.9504,0.5734
8,pcb2,100.00,0.9156,0.9609,0.9169,0.0974
9,pcb3,100.00,0.8739,0.9484,0.8852,0.1881
10,pcb4,100.00,0.9699,0.9463,0.9519,0.1823
11,pipe_fryum,98.67,0.9574,0.9849,0.9798,0.4121
Mean,Overall,99.89,0.9063*,0.9406*,0.9148*,0.2691*
