Task ID,Class Name,Routing Acc (%),Image AUC,Pixel AUC,Image AP,Pixel AP
0,bottle,100.00,1.0000,0.9750,1.0000,0.5635
1,cable,100.00,0.8979,0.9592,0.9476,0.5180
2,capsule,100.00,0.7391,0.9831,0.9297,0.3969
3,carpet,100.00,0.9876,0.9840,0.9965,0.4442
4,grid,100.00,0.6232,0.3220,0.7919,0.0046
5,hazelnut,100.00,0.9982,0.9820,0.9990,0.4670
6,leather,100.00,1.0000,0.9858,1.0000,0.2654
7,metal_nut,100.00,0.9785,0.9881,0.9952,0.9036
8,pill,100.00,0.8944,0.9854,0.9783,0.7893
9,screw,100.00,0.5313,0.9423,0.7670,0.0249
10,tile,100.00,1.0000,0.9551,1.0000,0.5517
11,toothbrush,100.00,0.8583,0.9704,0.9483,0.3491
12,transistor,100.00,0.9337,0.9262,0.9146,0.5392
13,wood,100.00,0.9877,0.9255,0.9963,0.3821
14,zipper,100.00,0.1878,0.7566,0.6424,0.0459
Mean,Overall,100.00,0.8412*,0.9094*,0.9271*,0.4164*
