Task ID,Class Name,Routing Acc (%),Image AUC,Pixel AUC,Image AP,Pixel AP
0,leather,100.00,1.0000,0.9489,1.0000,0.0727
1,grid,100.00,0.9156,0.8936,0.9680,0.1111
2,transistor,100.00,0.8029,0.9331,0.7924,0.5686
3,screw,100.00,0.4144,0.8003,0.7342,0.0181
Mean,Overall,100.00,0.7832*,0.8940*,0.8736*,0.1926*
