Task ID,Class Name,Routing Acc (%),Image AUC,Pixel AUC,Image AP,Pixel AP
0,bottle,100.00,1.0000,0.9798,1.0000,0.6453
1,cable,100.00,0.9899,0.9749,0.9947,0.6435
2,capsule,100.00,0.9641,0.9870,0.9912,0.3994
3,carpet,100.00,0.9936,0.9874,0.9982,0.5576
4,grid,100.00,0.9933,0.9746,0.9977,0.2327
5,hazelnut,100.00,0.9996,0.9859,0.9998,0.5432
6,leather,100.00,1.0000,0.9899,1.0000,0.3401
7,metal_nut,100.00,1.0000,0.9767,1.0000,0.8153
8,pill,100.00,0.9877,0.9890,0.9978,0.8066
9,screw,100.00,0.9170,0.9824,0.9678,0.2085
10,tile,100.00,1.0000,0.9650,1.0000,0.7096
11,toothbrush,100.00,0.9167,0.9843,0.9645,0.5177
12,transistor,100.00,0.9937,0.9626,0.9888,0.6428
13,wood,100.00,0.9877,0.9346,0.9961,0.4129
14,zipper,100.00,0.9947,0.9764,0.9987,0.3559
Mean,Overall,100.00,0.9825*,0.9767*,0.9930*,0.5221*
