Task ID,Class Name,Routing Acc (%),Image AUC,Pixel AUC,Image AP,Pixel AP
0,leather,100.00,1.0000,0.9284,1.0000,0.0537
1,grid,100.00,0.7059,0.7670,0.8848,0.0510
2,transistor,100.00,0.7175,0.8820,0.7300,0.3878
3,carpet,100.00,0.9442,0.9007,0.9843,0.1621
4,zipper,100.00,0.9535,0.9188,0.9825,0.2324
5,hazelnut,100.00,0.8221,0.8791,0.9038,0.1627
6,toothbrush,83.33,0.8000,0.4771,0.9225,0.0172
7,metal_nut,100.00,0.8583,0.8320,0.9630,0.3040
8,screw,100.00,0.0935,0.4320,0.5561,0.0020
9,wood,100.00,0.9386,0.8125,0.9783,0.2253
10,tile,86.32,0.9820,0.7573,0.9930,0.1306
11,capsule,100.00,0.6968,0.8807,0.9134,0.0834
12,pill,98.20,0.6675,0.8896,0.9215,0.2442
13,cable,99.33,0.8300,0.7993,0.8881,0.1738
14,bottle,100.00,0.9992,0.9011,0.9998,0.2920
Mean,Overall,97.81,0.8006*,0.8038*,0.9081*,0.1681*
