Task ID,Class Name,Routing Acc (%),Image AUC,Pixel AUC,Image AP,Pixel AP
0,leather,100.00,1.0000,0.9586,1.0000,0.1150
1,grid,100.00,0.8739,0.8847,0.9522,0.1190
2,transistor,100.00,0.7496,0.9251,0.7234,0.5206
3,screw,100.00,0.4708,0.9204,0.7585,0.0277
Mean,Overall,100.00,0.7736*,0.9222*,0.8585*,0.1955*
