Task ID,Class Name,Routing Acc (%),Image AUC,Pixel AUC,Image AP,Pixel AP
0,bottle,100.00,1.0000,0.9622,1.0000,0.4285
1,cable,100.00,0.9826,0.9747,0.9905,0.6493
2,capsule,100.00,0.9230,0.9838,0.9825,0.3113
3,carpet,100.00,0.9803,0.9798,0.9943,0.3955
4,grid,100.00,0.9983,0.9755,0.9994,0.2097
5,hazelnut,100.00,0.9979,0.9849,0.9988,0.5198
6,leather,100.00,1.0000,0.9791,1.0000,0.2064
7,metal_nut,100.00,1.0000,0.9823,1.0000,0.8444
8,pill,100.00,0.9817,0.9881,0.9969,0.8146
9,screw,100.00,0.8073,0.9746,0.9210,0.1612
10,tile,100.00,1.0000,0.9577,1.0000,0.6573
11,toothbrush,100.00,0.8528,0.9801,0.9277,0.4216
12,transistor,100.00,0.9971,0.9681,0.9954,0.6614
13,wood,100.00,0.9833,0.9152,0.9947,0.3080
14,zipper,100.00,0.9884,0.9735,0.9971,0.2900
Mean,Overall,100.00,0.9662*,0.9720*,0.9866*,0.4586*
