Task ID,Class Name,Routing Acc (%),Image AUC,Pixel AUC,Image AP,Pixel AP
0,bottle,100.00,1.0000,0.9838,1.0000,0.7364
1,cable,100.00,0.9839,0.9741,0.9920,0.6065
2,capsule,100.00,0.9477,0.9866,0.9881,0.3785
3,carpet,100.00,0.9928,0.9896,0.9979,0.6171
4,grid,100.00,0.9783,0.9769,0.9926,0.2532
5,hazelnut,100.00,1.0000,0.9874,1.0000,0.5874
6,leather,100.00,1.0000,0.9934,1.0000,0.4473
7,metal_nut,100.00,1.0000,0.9707,1.0000,0.7455
8,pill,100.00,0.9888,0.9896,0.9981,0.8061
9,screw,100.00,0.9049,0.9781,0.9599,0.2191
10,tile,100.00,1.0000,0.9710,1.0000,0.7400
11,toothbrush,100.00,0.9056,0.9851,0.9587,0.6001
12,transistor,100.00,0.9946,0.9705,0.9911,0.6634
13,wood,100.00,0.9789,0.9409,0.9931,0.4637
14,zipper,100.00,0.9921,0.9747,0.9979,0.3652
Mean,Overall,100.00,0.9778*,0.9781*,0.9913*,0.5486*
