Task ID,Class Name,Routing Acc (%),Image AUC,Pixel AUC,Image AP,Pixel AP
0,bottle,100.00,1.0000,0.9770,1.0000,0.5956
1,cable,100.00,0.9931,0.9766,0.9961,0.6000
2,capsule,100.00,0.9645,0.9861,0.9917,0.3685
3,carpet,100.00,0.9956,0.9868,0.9987,0.4968
4,grid,100.00,0.9833,0.9744,0.9946,0.2045
5,hazelnut,100.00,1.0000,0.9853,1.0000,0.5203
6,leather,100.00,1.0000,0.9864,1.0000,0.2638
7,metal_nut,100.00,1.0000,0.9775,1.0000,0.7999
8,pill,100.00,0.9812,0.9883,0.9967,0.8000
9,screw,100.00,0.9248,0.9849,0.9711,0.2362
10,tile,100.00,1.0000,0.9594,1.0000,0.6162
11,toothbrush,100.00,0.9222,0.9831,0.9666,0.4619
12,transistor,100.00,1.0000,0.9602,1.0000,0.6267
13,wood,100.00,0.9886,0.9311,0.9965,0.3987
14,zipper,100.00,0.9837,0.9743,0.9955,0.3367
Mean,Overall,100.00,0.9825*,0.9754*,0.9938*,0.4884*
