experiment_name,image_auc,pixel_auc,pixel_ap,routing_acc,backbone,num_epochs,lr,lora_rank,num_coupling_layers,dia_n_blocks,tail_weight,lambda_logdet,num_tasks
MoLE20-DIA2-LoRA64,0.5860,0.5268,0.8040,100.00,wide_resnet50_2,60,0.0003,64,20,N/A,N/A,N/A,15
MoLE4-DIA2-LoRA64,0.9784,0.9780,0.9912,100.00,wide_resnet50_2,60,0.0003,64,4,N/A,N/A,N/A,15
MoLE4-DIA8-LoRA64,0.9809,0.9774,0.9914,100.00,wide_resnet50_2,60,0.0003,64,4,N/A,N/A,N/A,15
MoLE6-DIA2-LoRA64,0.9805,0.9781,0.9925,100.00,wide_resnet50_2,60,0.0003,64,6,N/A,N/A,N/A,15
MoLE6-DIA6-LoRA64,0.9819,0.9779,0.9916,100.00,wide_resnet50_2,60,0.0003,64,6,N/A,N/A,N/A,15
MoLE8-DIA2-LoRA64,0.9799,0.9774,0.9923,100.00,wide_resnet50_2,60,0.0003,64,8,N/A,N/A,N/A,15
Sequential,0.6010,0.6820,0.7959,100.00,wide_resnet50_2,60,0.0003,64,6,N/A,N/A,N/A,15
VISA-Ablation-LoRA128-DIA6-TailW0.7-TopK3,0.8182,0.9669,0.8198,100.00,wide_resnet50_2,80,0.0003,128,10,N/A,N/A,N/A,12
VISA-DINOv2-Base-DIA6-C10,N/A,N/A,N/A,N/A,vit_base_patch14_dinov2.lvd142m,80,5e-05,64,10,N/A,N/A,N/A,12
VISA-ViT-100ep-DIA6-C10,0.9064,0.9408,0.9154,99.89,vit_base_patch16_224.augreg2_in21k_ft_in1k,100,0.0001,64,10,N/A,N/A,N/A,12
VISA-ViT-DIA8-C10-100ep,0.9059,0.9424,0.9156,99.83,vit_base_patch16_224.augreg2_in21k_ft_in1k,100,0.0001,64,10,N/A,N/A,N/A,12
VISA-ViT-LoRA128-DIA6-100ep,0.9063,0.9406,0.9148,99.89,vit_base_patch16_224.augreg2_in21k_ft_in1k,100,0.0001,128,10,N/A,N/A,N/A,12
VISA-ViT-LoRA128-DIA8-C12,0.9071,0.9423,0.9153,99.89,vit_base_patch16_224.augreg2_in21k_ft_in1k,100,8e-05,128,12,N/A,N/A,N/A,12
VISA-ViT-lr1e-4-Coupling8-TailW0.7,0.9024,0.9360,0.9114,99.83,vit_base_patch16_224.augreg2_in21k_ft_in1k,80,0.0001,64,8,N/A,N/A,N/A,12
VISA-ViT-lr1e-4-DIA6-Coupling10,0.9052,0.9392,0.9150,99.83,vit_base_patch16_224.augreg2_in21k_ft_in1k,80,0.0001,64,10,N/A,N/A,N/A,12
VISA-ViT-lr1e-4-LoRA128-TailW0.7,0.9022,0.9359,0.9112,99.83,vit_base_patch16_224.augreg2_in21k_ft_in1k,80,0.0001,128,8,N/A,N/A,N/A,12
VISA-ViT-lr5e-5-Coupling8-TailW0.7,0.8941,0.9318,0.9051,99.83,vit_base_patch16_224.augreg2_in21k_ft_in1k,80,5e-05,64,8,N/A,N/A,N/A,12
VISA-WRN50-Coupling12-TailW0.7,0.8145,0.9657,0.8197,100.00,wide_resnet50_2,80,0.0003,64,12,N/A,N/A,N/A,12
VISA-WRN50-DIA6-80ep,0.8376,0.9687,0.8567,100.00,wide_resnet50_2,80,0.0002,64,8,N/A,N/A,N/A,12
VISA-WRN50-LoRA128-80ep,0.8202,0.9634,0.8397,100.00,wide_resnet50_2,80,0.0002,128,8,N/A,N/A,N/A,12
VISA-WRN50-LoRA128-DIA4-TailW0.7,0.8096,0.9619,0.8115,100.00,wide_resnet50_2,80,0.0003,128,10,N/A,N/A,N/A,12
VISA-WRN50-LoRA128-DIA6-Combined,0.8566,0.9687,0.8734,100.00,wide_resnet50_2,80,0.0002,128,8,N/A,N/A,N/A,12
VISA-WRN50-LoRA128-DIA6-TailW0.7,0.8182,0.9669,0.8198,100.00,wide_resnet50_2,80,0.0003,128,10,N/A,N/A,N/A,12
VISA-WRN50-LoRA64-DIA6-TailW0.7,0.8164,0.9669,0.8185,100.00,wide_resnet50_2,80,0.0003,64,10,N/A,N/A,N/A,12
woLoRA,0.9796,0.9777,0.9924,100.00,wide_resnet50_2,60,0.0003,64,6,N/A,N/A,N/A,15
woLogDet,0.9806,0.9770,0.9927,100.00,wide_resnet50_2,60,0.0003,64,6,N/A,N/A,N/A,15
woPosEmbed,0.9740,0.9747,0.9894,100.00,wide_resnet50_2,60,0.0003,64,6,N/A,N/A,N/A,15
woScaleCtx,0.9790,0.9774,0.9918,100.00,wide_resnet50_2,60,0.0003,64,6,N/A,N/A,N/A,15
woSpatialCtx,0.9798,0.9754,0.9923,100.00,wide_resnet50_2,60,0.0003,64,6,N/A,N/A,N/A,15
woTailLoss,0.9497,0.9721,0.9812,100.00,wide_resnet50_2,60,0.0003,64,6,N/A,N/A,N/A,15
woWhitening,0.9790,0.9769,0.9913,100.00,wide_resnet50_2,60,0.0003,64,6,N/A,N/A,N/A,15
