experiment_name,image_auc,pixel_auc,pixel_ap,routing_acc,backbone,num_epochs,lr,lora_rank,num_coupling_layers,dia_n_blocks,tail_weight,lambda_logdet,num_tasks
MVTec-WRN50-Ablation-wo_Adapter,0.9604,0.9703,0.9860,100.00,wide_resnet50_2,60,0.0002,64,8,N/A,N/A,N/A,15
MVTec-WRN50-Ablation-wo_DIA,0.9479,0.9702,0.9802,100.00,wide_resnet50_2,60,0.0002,64,8,N/A,N/A,N/A,15
MVTec-WRN50-Ablation-wo_LoRA,0.9797,0.9739,0.9929,100.00,wide_resnet50_2,60,0.0002,64,8,N/A,N/A,N/A,15
MVTec-WRN50-Ablation-wo_PosEmbed,0.9767,0.9695,0.9911,100.00,wide_resnet50_2,60,0.0002,64,8,N/A,N/A,N/A,15
MVTec-WRN50-Ablation-wo_Router,0.9798,0.9734,0.9930,N/A,wide_resnet50_2,60,0.0002,64,8,N/A,N/A,N/A,15
MVTec-WRN50-Ablation-wo_ScaleCtx,0.9775,0.9741,0.9919,100.00,wide_resnet50_2,60,0.0002,64,8,N/A,N/A,N/A,15
MVTec-WRN50-Ablation-wo_SpatialCtx,0.9772,0.9731,0.9915,100.00,wide_resnet50_2,60,0.0002,64,8,N/A,N/A,N/A,15
MoLE6-DIA2-CompleteSep,0.9813,0.9774,0.9922,100.00,wide_resnet50_2,60,0.0003,64,6,N/A,N/A,N/A,15
MoLE6-DIA2-woLoRA,0.9805,0.9781,0.9925,100.00,wide_resnet50_2,60,0.0003,64,6,N/A,N/A,N/A,15
MoLE6-DIA2-woScaleCtx,0.9790,0.9774,0.9918,100.00,wide_resnet50_2,60,0.0003,64,6,N/A,N/A,N/A,15
MoLE8-DIA4-CompleteSep,N/A,N/A,N/A,N/A,wide_resnet50_2,60,0.0003,64,8,N/A,N/A,N/A,15
MoLE8-DIA4-Sequential,0.5747,0.5581,0.7738,100.00,wide_resnet50_2,60,0.0003,64,8,N/A,N/A,N/A,15
MoLE8-DIA4-woLoRA,0.9829,0.9782,0.9928,100.00,wide_resnet50_2,60,0.0003,64,8,N/A,N/A,N/A,15
MoLE8-DIA4-woLogDetReg,0.9829,0.9766,0.9931,100.00,wide_resnet50_2,60,0.0003,64,8,N/A,N/A,N/A,15
MoLE8-DIA4-woMoLESubnet,0.9837,0.9784,0.9932,100.00,wide_resnet50_2,60,0.0003,64,8,N/A,N/A,N/A,15
MoLE8-DIA4-woScaleCtx,0.9808,0.9784,0.9916,100.00,wide_resnet50_2,60,0.0003,64,8,N/A,N/A,N/A,15
MoLE8-DIA4-woSpatialCtx,0.9808,0.9770,0.9923,100.00,wide_resnet50_2,60,0.0003,64,8,N/A,N/A,N/A,15
MoLE8-DIA4-woTailLoss,0.9662,0.9720,0.9866,100.00,wide_resnet50_2,60,0.0003,64,8,N/A,N/A,N/A,15
MoLE8-DIA4-woWhitening,0.9806,0.9760,0.9923,100.00,wide_resnet50_2,60,0.0003,64,8,N/A,N/A,N/A,15
