experiment_name,image_auc,pixel_auc,pixel_ap,routing_acc,backbone,num_epochs,lr,lora_rank,num_coupling_layers,dia_n_blocks,tail_weight,lambda_logdet,num_tasks
CompleteSeparated,0.9813,0.9774,0.9922,100.00,wide_resnet50_2,60,0.0003,64,6,N/A,N/A,N/A,15
LogDet-1e5,0.9810,0.9771,0.9928,100.00,wide_resnet50_2,60,0.0003,64,6,N/A,N/A,N/A,15
LogDet-1e6,0.9808,0.9770,0.9928,100.00,wide_resnet50_2,60,0.0003,64,6,N/A,N/A,N/A,15
MoLE8-DIA4-SpatialK5,N/A,N/A,N/A,N/A,wide_resnet50_2,60,0.0003,64,8,N/A,N/A,N/A,15
MoLE8-DIA4-TailW1.0,N/A,N/A,N/A,N/A,wide_resnet50_2,60,0.0003,64,8,N/A,N/A,N/A,15
ScaleCtxK-3,0.9793,0.9777,0.9913,100.00,wide_resnet50_2,60,0.0003,64,6,N/A,N/A,N/A,15
ScaleCtxK-7,0.9791,0.9779,0.9911,100.00,wide_resnet50_2,60,0.0003,64,6,N/A,N/A,N/A,15
ScoreTopK-10,0.9807,0.9781,0.9930,100.00,wide_resnet50_2,60,0.0003,64,6,N/A,N/A,N/A,15
ScoreTopK-5,0.9805,0.9781,0.9928,100.00,wide_resnet50_2,60,0.0003,64,6,N/A,N/A,N/A,15
ScoreTopK-7,0.9806,0.9781,0.9928,100.00,wide_resnet50_2,60,0.0003,64,6,N/A,N/A,N/A,15
SpatialCtxK-5,0.9612,0.9697,0.9830,100.00,wide_resnet50_2,60,0.0003,64,6,N/A,N/A,N/A,15
SpatialCtxK-7,0.9090,0.9391,0.9538,100.00,wide_resnet50_2,60,0.0003,64,6,N/A,N/A,N/A,15
TailTopK-0.01,0.9802,0.9779,0.9923,100.00,wide_resnet50_2,60,0.0003,64,6,N/A,N/A,N/A,15
TailTopK-0.03,0.9807,0.9783,0.9925,100.00,wide_resnet50_2,60,0.0003,64,6,N/A,N/A,N/A,15
TailTopK-0.05,0.9798,0.9783,0.9921,100.00,wide_resnet50_2,60,0.0003,64,6,N/A,N/A,N/A,15
TailTopK-0.10,0.9783,0.9783,0.9914,100.00,wide_resnet50_2,60,0.0003,64,6,N/A,N/A,N/A,15
TailW-0.1,0.9725,0.9744,0.9896,100.00,wide_resnet50_2,60,0.0003,64,6,N/A,N/A,N/A,15
TailW-0.3,0.9776,0.9757,0.9913,100.00,wide_resnet50_2,60,0.0003,64,6,N/A,N/A,N/A,15
TailW-0.5,0.9793,0.9768,0.9921,100.00,wide_resnet50_2,60,0.0003,64,6,N/A,N/A,N/A,15
TailW-0.8,0.9801,0.9782,0.9922,100.00,wide_resnet50_2,60,0.0003,64,6,N/A,N/A,N/A,15
TailW-1.0-TopK2,0.9792,0.9781,0.9916,100.00,wide_resnet50_2,60,0.0003,64,6,N/A,N/A,N/A,15
