Task ID,Class Name,Routing Acc (%),Image AUC,Pixel AUC,Image AP,Pixel AP
0,candle,100.00,0.8291,0.9762,0.7817,0.1820
1,capsules,100.00,0.6948,0.9595,0.7843,0.1805
2,cashew,100.00,0.8266,0.9801,0.9081,0.3943
3,chewinggum,100.00,0.8456,0.9854,0.8916,0.4670
4,fryum,100.00,0.9534,0.9257,0.9781,0.4347
5,macaroni1,100.00,0.7429,0.9779,0.6849,0.0613
6,macaroni2,100.00,0.6833,0.9137,0.6555,0.0083
7,pcb1,100.00,0.8328,0.9883,0.7795,0.4089
8,pcb2,100.00,0.7563,0.9595,0.7529,0.0903
9,pcb3,100.00,0.7909,0.9816,0.7900,0.2412
10,pcb4,100.00,0.9427,0.9687,0.8813,0.2259
11,pipe_fryum,100.00,0.9202,0.9859,0.9494,0.4876
Mean,Overall,100.00,0.8182*,0.9669*,0.8198*,0.2652*
