Task ID,Class Name,Routing Acc (%),Image AUC,Pixel AUC,Image AP,Pixel AP
0,candle,100.00,0.8966,0.8978,0.9148,0.0781
1,capsules,100.00,0.8735,0.9702,0.9300,0.3190
2,cashew,100.00,0.9688,0.9811,0.9841,0.7120
3,chewinggum,100.00,0.9394,0.9530,0.9722,0.3491
4,fryum,100.00,0.9394,0.9386,0.9719,0.3117
5,macaroni1,100.00,0.8818,0.9276,0.8705,0.0294
6,macaroni2,100.00,0.6980,0.8173,0.6526,0.0079
7,pcb1,100.00,0.9454,0.9845,0.9377,0.5906
8,pcb2,100.00,0.9173,0.9633,0.9147,0.0882
9,pcb3,100.00,0.8772,0.9526,0.8859,0.2036
10,pcb4,100.00,0.9726,0.9547,0.9547,0.1846
11,pipe_fryum,98.67,0.9592,0.9814,0.9790,0.2859
Mean,Overall,99.89,0.9058*,0.9435*,0.9140*,0.2633*
