Task ID,Class Name,Routing Acc (%),Image AUC,Pixel AUC,Image AP,Pixel AP
0,leather,100.00,1.0000,0.9423,1.0000,0.0640
1,grid,100.00,0.8805,0.8981,0.9539,0.1092
2,transistor,100.00,0.7504,0.9245,0.7265,0.5187
3,screw,100.00,0.5036,0.8525,0.7683,0.0176
Mean,Overall,100.00,0.7836*,0.9043*,0.8622*,0.1774*
