Task ID,Class Name,Routing Acc (%),Image AUC,Pixel AUC,Image AP,Pixel AP
0,bottle,100.00,1.0000,0.9661,1.0000,0.4697
1,cable,100.00,0.9918,0.9749,0.9954,0.6565
2,capsule,100.00,0.9473,0.9850,0.9874,0.3374
3,carpet,100.00,0.9827,0.9810,0.9951,0.3868
4,grid,100.00,0.9900,0.9755,0.9967,0.2120
5,hazelnut,100.00,1.0000,0.9850,1.0000,0.5130
6,leather,100.00,1.0000,0.9817,1.0000,0.2326
7,metal_nut,100.00,1.0000,0.9836,1.0000,0.8595
8,pill,100.00,0.9834,0.9886,0.9971,0.8123
9,screw,100.00,0.8969,0.9830,0.9601,0.2058
10,tile,100.00,1.0000,0.9573,1.0000,0.6639
11,toothbrush,100.00,0.9222,0.9818,0.9665,0.4268
12,transistor,100.00,1.0000,0.9669,1.0000,0.6529
13,wood,100.00,0.9895,0.9210,0.9968,0.3318
14,zipper,100.00,0.9919,0.9743,0.9979,0.3055
Mean,Overall,100.00,0.9797*,0.9737*,0.9929*,0.4711*
