Task ID,Class Name,Routing Acc (%),Image AUC,Pixel AUC,Image AP,Pixel AP
0,candle,100.00,0.8655,0.8174,0.8597,0.1136
1,capsules,100.00,0.7187,0.9418,0.8102,0.2971
2,cashew,100.00,0.8710,0.9598,0.9368,0.4258
3,chewinggum,100.00,0.9298,0.9834,0.9485,0.4254
4,fryum,100.00,0.9528,0.8237,0.9783,0.3741
5,macaroni1,100.00,0.8030,0.9308,0.8065,0.0798
6,macaroni2,100.00,0.7407,0.8721,0.7070,0.0149
7,pcb1,100.00,0.9189,0.9868,0.8929,0.6174
8,pcb2,100.00,0.9017,0.9506,0.8859,0.1161
9,pcb3,100.00,0.8682,0.9693,0.8653,0.2746
10,pcb4,100.00,0.9574,0.9497,0.9102,0.2442
11,pipe_fryum,99.33,0.9294,0.9482,0.9649,0.3962
Mean,Overall,99.94,0.8714*,0.9278*,0.8805*,0.2816*
