Task ID,Class Name,Routing Acc (%),Image AUC,Pixel AUC,Image AP,Pixel AP
0,bottle,100.00,1.0000,0.9847,1.0000,0.7511
1,cable,100.00,0.9858,0.9736,0.9927,0.6272
2,capsule,100.00,0.9477,0.9857,0.9878,0.3767
3,carpet,100.00,0.9952,0.9899,0.9986,0.6479
4,grid,100.00,0.9900,0.9756,0.9966,0.2619
5,hazelnut,100.00,0.9989,0.9865,0.9994,0.5621
6,leather,100.00,1.0000,0.9922,1.0000,0.4104
7,metal_nut,100.00,1.0000,0.9714,1.0000,0.7554
8,pill,100.00,0.9872,0.9892,0.9979,0.8046
9,screw,100.00,0.9098,0.9754,0.9641,0.2055
10,tile,100.00,1.0000,0.9684,1.0000,0.7077
11,toothbrush,100.00,0.9167,0.9851,0.9649,0.5986
12,transistor,100.00,0.9925,0.9683,0.9876,0.6472
13,wood,100.00,0.9746,0.9405,0.9911,0.4540
14,zipper,100.00,0.9874,0.9747,0.9966,0.3672
Mean,Overall,100.00,0.9790*,0.9774*,0.9918*,0.5452*
