Task ID,Class Name,Routing Acc (%),Image AUC,Pixel AUC,Image AP,Pixel AP
0,candle,100.00,0.9002,0.8928,0.9183,0.0781
1,capsules,100.00,0.8748,0.9669,0.9307,0.2899
2,cashew,100.00,0.9700,0.9813,0.9849,0.6893
3,chewinggum,100.00,0.9372,0.9514,0.9714,0.3238
4,fryum,100.00,0.9482,0.9370,0.9758,0.2934
5,macaroni1,100.00,0.8821,0.9239,0.8687,0.0280
6,macaroni2,100.00,0.7007,0.8270,0.6583,0.0082
7,pcb1,100.00,0.9500,0.9838,0.9418,0.5861
8,pcb2,100.00,0.9206,0.9628,0.9191,0.0952
9,pcb3,100.00,0.8737,0.9493,0.8829,0.1776
10,pcb4,100.00,0.9716,0.9499,0.9541,0.1752
11,pipe_fryum,98.67,0.9560,0.9820,0.9778,0.2892
Mean,Overall,99.89,0.9071*,0.9423*,0.9153*,0.2528*
