class_name,task_id,img_auc,pixel_auc,is_current_task,routing_accuracy
leather,0,1.0,0.9688039801431811,False,1.0
grid,1,0.9197994987468672,0.9007573432532036,False,1.0
transistor,2,0.8099999999999999,0.9399120057111855,False,1.0
screw,3,0.3900389424062307,0.8272069192180102,True,1.0
Average,,0.7799596102882744,0.9091700620813951,,1.0
Task_0_Average,0,1.0,0.9688039801431811,,1.0
Task_1_Average,1,0.9197994987468672,0.9007573432532036,,1.0
Task_2_Average,2,0.8099999999999999,0.9399120057111855,,1.0
Task_3_Average,3,0.3900389424062307,0.8272069192180102,,1.0
