Task ID,Class Name,Routing Acc (%),Image AUC,Pixel AUC,Image AP,Pixel AP
0,leather,100.00,1.0000,0.9688,1.0000,0.1836
1,grid,100.00,0.9198,0.9008,0.9713,0.1318
2,transistor,100.00,0.8100,0.9399,0.7967,0.6080
3,screw,100.00,0.3900,0.8272,0.7227,0.0221
Mean,Overall,100.00,0.7800*,0.9092*,0.8727*,0.2364*
