Task ID,Class Name,Routing Acc (%),Image AUC,Pixel AUC,Image AP,Pixel AP
0,candle,100.00,0.8200,0.9845,0.8067,0.1627
1,capsules,100.00,0.6967,0.9370,0.7970,0.1908
2,cashew,100.00,0.8474,0.9759,0.9317,0.4197
3,chewinggum,100.00,0.9542,0.9868,0.9797,0.3227
4,fryum,100.00,0.9526,0.9463,0.9776,0.4233
5,macaroni1,100.00,0.7375,0.9573,0.7537,0.0625
6,macaroni2,100.00,0.6748,0.9516,0.6394,0.0078
7,pcb1,100.00,0.8393,0.9869,0.8255,0.5381
8,pcb2,100.00,0.7369,0.9389,0.7605,0.0905
9,pcb3,100.00,0.7676,0.9757,0.8005,0.2617
10,pcb4,100.00,0.9495,0.9710,0.9012,0.2550
11,pipe_fryum,100.00,0.9498,0.9861,0.9732,0.5026
Mean,Overall,100.00,0.8272*,0.9665*,0.8455*,0.2698*
