timestamp,current_task_id,epoch,leather_img_auc,leather_pixel_auc,leather_routing_acc,grid_img_auc,grid_pixel_auc,grid_routing_acc,transistor_img_auc,transistor_pixel_auc,transistor_routing_acc,mean_img_auc,mean_pixel_auc,mean_routing_acc
2025-12-27 06:26:05,0,39,1.0,0.9694815941675683,1.0,-1,-1,-1.0,-1,-1,-1.0,1.0,0.9694815941675683,1.0
2025-12-27 06:27:59,1,39,1.0,0.9732722536963928,1.0,0.7644110275689223,0.8958021670590555,1.0,-1,-1,-1.0,0.8822055137844611,0.9345372103777241,1.0
2025-12-27 06:29:44,2,39,1.0,0.9769305472855132,1.0,0.7652464494569758,0.8996785640737551,1.0,0.7,0.9064754273851311,1.0,0.8217488164856587,0.9276948462481331,1.0
