Task ID,Class Name,Routing Acc (%),Image AUC,Pixel AUC,Image AP,Pixel AP
0,bottle,100.00,1.0000,0.9798,1.0000,0.6456
1,cable,100.00,0.9888,0.9749,0.9941,0.6439
2,capsule,100.00,0.9629,0.9870,0.9910,0.4007
3,carpet,100.00,0.9928,0.9874,0.9980,0.5572
4,grid,100.00,0.9925,0.9745,0.9973,0.2320
5,hazelnut,100.00,0.9996,0.9859,0.9998,0.5450
6,leather,100.00,1.0000,0.9899,1.0000,0.3409
7,metal_nut,100.00,1.0000,0.9766,1.0000,0.8147
8,pill,100.00,0.9883,0.9889,0.9979,0.8056
9,screw,100.00,0.9174,0.9824,0.9680,0.2089
10,tile,100.00,1.0000,0.9650,1.0000,0.7105
11,toothbrush,100.00,0.9111,0.9843,0.9615,0.5168
12,transistor,100.00,0.9912,0.9625,0.9824,0.6422
13,wood,100.00,0.9868,0.9344,0.9958,0.4123
14,zipper,100.00,0.9958,0.9762,0.9989,0.3547
Mean,Overall,100.00,0.9818*,0.9767*,0.9923*,0.5221*
