Task ID,Class Name,Routing Acc (%),Image AUC,Pixel AUC,Image AP,Pixel AP
0,bottle,100.00,1.0000,0.9784,1.0000,0.6328
1,cable,100.00,0.9788,0.9721,0.9889,0.6542
2,capsule,100.00,0.9573,0.9868,0.9904,0.3854
3,carpet,100.00,0.9948,0.9860,0.9984,0.5068
4,grid,100.00,0.9983,0.9769,0.9994,0.2421
5,hazelnut,100.00,0.9986,0.9869,0.9992,0.5681
6,leather,100.00,1.0000,0.9888,1.0000,0.3059
7,metal_nut,100.00,1.0000,0.9796,1.0000,0.8450
8,pill,100.00,0.9875,0.9895,0.9979,0.8119
9,screw,100.00,0.9246,0.9823,0.9726,0.2158
10,tile,100.00,1.0000,0.9661,1.0000,0.7206
11,toothbrush,100.00,0.9083,0.9835,0.9594,0.5237
12,transistor,100.00,0.9971,0.9682,0.9955,0.6701
13,wood,100.00,0.9789,0.9360,0.9928,0.4249
14,zipper,100.00,0.9911,0.9757,0.9976,0.3610
Mean,Overall,100.00,0.9810*,0.9771*,0.9928*,0.5246*
