Task ID,Class Name,Routing Acc (%),Image AUC,Pixel AUC,Image AP,Pixel AP
0,bottle,100.00,1.0000,0.9844,1.0000,0.7686
1,cable,100.00,0.9839,0.9661,0.9912,0.5983
2,capsule,100.00,0.9513,0.9863,0.9892,0.3785
3,carpet,100.00,0.9912,0.9888,0.9975,0.5985
4,grid,100.00,0.9666,0.9745,0.9889,0.2752
5,hazelnut,100.00,0.9979,0.9878,0.9987,0.6074
6,leather,100.00,1.0000,0.9929,1.0000,0.4226
7,metal_nut,100.00,1.0000,0.9707,1.0000,0.7956
8,pill,100.00,0.9869,0.9891,0.9978,0.7656
9,screw,100.00,0.8920,0.9767,0.9565,0.2251
10,tile,100.00,1.0000,0.9705,1.0000,0.7115
11,toothbrush,100.00,0.8889,0.9843,0.9486,0.5057
12,transistor,100.00,0.9842,0.9274,0.9824,0.5828
13,wood,100.00,0.9737,0.9465,0.9912,0.4932
14,zipper,100.00,0.9934,0.9747,0.9983,0.3692
Mean,Overall,100.00,0.9740*,0.9747*,0.9894*,0.5399*
